,time_set,events
0,2021-05-20 00:00:00,d
1,2021-05-20 01:00:00,d
2,2021-05-20 02:00:00,d
3,2021-05-20 03:00:00,d
4,2021-05-20 04:00:00,d
5,2021-05-20 05:00:00,d
6,2021-05-20 06:00:00,d
7,2021-05-20 07:00:00,c
8,2021-05-20 08:00:00,c
9,2021-05-20 09:00:00,c
10,2021-05-20 10:00:00,c
11,2021-05-20 11:00:00,c
12,2021-05-20 12:00:00,c
13,2021-05-20 13:00:00,c
14,2021-05-20 14:00:00,g
15,2021-05-20 15:00:00,g
16,2021-05-20 16:00:00,d
17,2021-05-20 17:00:00,d
18,2021-05-20 18:00:00,h
19,2021-05-20 19:00:00,g
20,2021-05-20 20:00:00,g
21,2021-05-20 21:00:00,f
22,2021-05-20 22:00:00,f
23,2021-05-20 23:00:00,h
24,2021-05-21 00:00:00,e
25,2021-05-21 01:00:00,e
26,2021-05-21 02:00:00,d
27,2021-05-21 03:00:00,d
28,2021-05-21 04:00:00,d
29,2021-05-21 05:00:00,d
30,2021-05-21 06:00:00,d
31,2021-05-21 07:00:00,d
32,2021-05-21 08:00:00,d
33,2021-05-21 09:00:00,d
34,2021-05-21 10:00:00,g
35,2021-05-21 11:00:00,g
36,2021-05-21 12:00:00,f
37,2021-05-21 13:00:00,f
38,2021-05-21 14:00:00,b
39,2021-05-21 15:00:00,g
40,2021-05-21 16:00:00,g
41,2021-05-21 17:00:00,a
42,2021-05-21 18:00:00,a
43,2021-05-21 19:00:00,a
44,2021-05-21 20:00:00,a
45,2021-05-21 21:00:00,a
46,2021-05-21 22:00:00,a
47,2021-05-21 23:00:00,a
48,2021-05-22 00:00:00,a
49,2021-05-22 01:00:00,d
50,2021-05-22 02:00:00,d
51,2021-05-22 03:00:00,d
52,2021-05-22 04:00:00,d
53,2021-05-22 05:00:00,d
54,2021-05-22 06:00:00,d
55,2021-05-22 07:00:00,d
56,2021-05-22 08:00:00,d
57,2021-05-22 09:00:00,h
58,2021-05-22 10:00:00,h
59,2021-05-22 11:00:00,g
60,2021-05-22 12:00:00,e
61,2021-05-22 13:00:00,h
62,2021-05-22 14:00:00,h
63,2021-05-22 15:00:00,c
64,2021-05-22 16:00:00,c
65,2021-05-22 17:00:00,d
66,2021-05-22 18:00:00,d
67,2021-05-22 19:00:00,d
68,2021-05-22 20:00:00,d
69,2021-05-22 21:00:00,d
70,2021-05-22 22:00:00,d
71,2021-05-22 23:00:00,d
72,2021-05-23 00:00:00,a
73,2021-05-23 01:00:00,f
74,2021-05-23 02:00:00,f
75,2021-05-23 03:00:00,d
76,2021-05-23 04:00:00,d
77,2021-05-23 05:00:00,d
78,2021-05-23 06:00:00,d
79,2021-05-23 07:00:00,d
80,2021-05-23 08:00:00,d
81,2021-05-23 09:00:00,d
82,2021-05-23 10:00:00,g
83,2021-05-23 11:00:00,h
84,2021-05-23 12:00:00,h
85,2021-05-23 13:00:00,c
86,2021-05-23 14:00:00,c
87,2021-05-23 15:00:00,c
88,2021-05-23 16:00:00,c
89,2021-05-23 17:00:00,c
90,2021-05-23 18:00:00,c
91,2021-05-23 19:00:00,c
92,2021-05-23 20:00:00,c
93,2021-05-23 21:00:00,a
94,2021-05-23 22:00:00,h
95,2021-05-23 23:00:00,h
96,2021-05-24 00:00:00,f
97,2021-05-24 01:00:00,f
98,2021-05-24 02:00:00,d
99,2021-05-24 03:00:00,e
100,2021-05-24 04:00:00,e
101,2021-05-24 05:00:00,e
102,2021-05-24 06:00:00,e
103,2021-05-24 07:00:00,e
104,2021-05-24 08:00:00,e
105,2021-05-24 09:00:00,e
106,2021-05-24 10:00:00,e
107,2021-05-24 11:00:00,c
108,2021-05-24 12:00:00,f
109,2021-05-24 13:00:00,f
110,2021-05-24 14:00:00,f
111,2021-05-24 15:00:00,f
112,2021-05-24 16:00:00,f
113,2021-05-24 17:00:00,f
114,2021-05-24 18:00:00,f
115,2021-05-24 19:00:00,b
116,2021-05-24 20:00:00,h
117,2021-05-24 21:00:00,h
118,2021-05-24 22:00:00,e
119,2021-05-24 23:00:00,e
120,2021-05-25 00:00:00,e
121,2021-05-25 01:00:00,e
122,2021-05-25 02:00:00,e
123,2021-05-25 03:00:00,e
124,2021-05-25 04:00:00,e
125,2021-05-25 05:00:00,d
126,2021-05-25 06:00:00,d
127,2021-05-25 07:00:00,d
128,2021-05-25 08:00:00,d
129,2021-05-25 09:00:00,d
130,2021-05-25 10:00:00,d
131,2021-05-25 11:00:00,d
132,2021-05-25 12:00:00,d
133,2021-05-25 13:00:00,c
134,2021-05-25 14:00:00,c
135,2021-05-25 15:00:00,c
136,2021-05-25 16:00:00,c
137,2021-05-25 17:00:00,c
138,2021-05-25 18:00:00,c
139,2021-05-25 19:00:00,c
140,2021-05-25 20:00:00,c
141,2021-05-25 21:00:00,f
142,2021-05-25 22:00:00,g
143,2021-05-25 23:00:00,g
144,2021-05-26 00:00:00,h
145,2021-05-26 01:00:00,h
146,2021-05-26 02:00:00,g
147,2021-05-26 03:00:00,d
148,2021-05-26 04:00:00,e
149,2021-05-26 05:00:00,e
150,2021-05-26 06:00:00,e
151,2021-05-26 07:00:00,e
152,2021-05-26 08:00:00,e
153,2021-05-26 09:00:00,e
154,2021-05-26 10:00:00,e
155,2021-05-26 11:00:00,e
156,2021-05-26 12:00:00,a
157,2021-05-26 13:00:00,a
158,2021-05-26 14:00:00,d
159,2021-05-26 15:00:00,d
160,2021-05-26 16:00:00,d
161,2021-05-26 17:00:00,d
162,2021-05-26 18:00:00,d
163,2021-05-26 19:00:00,d
164,2021-05-26 20:00:00,d
165,2021-05-26 21:00:00,d
166,2021-05-26 22:00:00,f
167,2021-05-26 23:00:00,f
168,2021-05-27 00:00:00,f
169,2021-05-27 01:00:00,f
170,2021-05-27 02:00:00,f
171,2021-05-27 03:00:00,f
172,2021-05-27 04:00:00,f
173,2021-05-27 05:00:00,c
174,2021-05-27 06:00:00,c
175,2021-05-27 07:00:00,c
176,2021-05-27 08:00:00,c
177,2021-05-27 09:00:00,c
178,2021-05-27 10:00:00,c
179,2021-05-27 11:00:00,c
180,2021-05-27 12:00:00,g
181,2021-05-27 13:00:00,g
182,2021-05-27 14:00:00,d
183,2021-05-27 15:00:00,d
184,2021-05-27 16:00:00,e
185,2021-05-27 17:00:00,e
186,2021-05-27 18:00:00,e
187,2021-05-27 19:00:00,e
188,2021-05-27 20:00:00,e
189,2021-05-27 21:00:00,e
190,2021-05-27 22:00:00,e
191,2021-05-27 23:00:00,e
192,2021-05-28 00:00:00,f
193,2021-05-28 01:00:00,h
194,2021-05-28 02:00:00,h
195,2021-05-28 03:00:00,e
196,2021-05-28 04:00:00,e
197,2021-05-28 05:00:00,e
198,2021-05-28 06:00:00,e
199,2021-05-28 07:00:00,e
200,2021-05-28 08:00:00,e
201,2021-05-28 09:00:00,e
202,2021-05-28 10:00:00,e
203,2021-05-28 11:00:00,f
204,2021-05-28 12:00:00,f
205,2021-05-28 13:00:00,f
206,2021-05-28 14:00:00,f
207,2021-05-28 15:00:00,f
208,2021-05-28 16:00:00,f
209,2021-05-28 17:00:00,f
210,2021-05-28 18:00:00,f
211,2021-05-28 19:00:00,h
212,2021-05-28 20:00:00,g
213,2021-05-28 21:00:00,h
214,2021-05-28 22:00:00,e
215,2021-05-28 23:00:00,e
216,2021-05-29 00:00:00,e
217,2021-05-29 01:00:00,e
218,2021-05-29 02:00:00,e
219,2021-05-29 03:00:00,e
220,2021-05-29 04:00:00,e
221,2021-05-29 05:00:00,d
222,2021-05-29 06:00:00,d
223,2021-05-29 07:00:00,d
224,2021-05-29 08:00:00,d
225,2021-05-29 09:00:00,d
226,2021-05-29 10:00:00,d
227,2021-05-29 11:00:00,d
228,2021-05-29 12:00:00,d
229,2021-05-29 13:00:00,h
230,2021-05-29 14:00:00,h
231,2021-05-29 15:00:00,d
232,2021-05-29 16:00:00,d
233,2021-05-29 17:00:00,d
234,2021-05-29 18:00:00,d
235,2021-05-29 19:00:00,d
236,2021-05-29 20:00:00,d
237,2021-05-29 21:00:00,d
238,2021-05-29 22:00:00,c
239,2021-05-29 23:00:00,c
240,2021-05-30 00:00:00,c
241,2021-05-30 01:00:00,c
242,2021-05-30 02:00:00,c
243,2021-05-30 03:00:00,c
244,2021-05-30 04:00:00,c
245,2021-05-30 05:00:00,g
246,2021-05-30 06:00:00,g
247,2021-05-30 07:00:00,f
248,2021-05-30 08:00:00,f
249,2021-05-30 09:00:00,f
250,2021-05-30 10:00:00,f
251,2021-05-30 11:00:00,f
252,2021-05-30 12:00:00,f
253,2021-05-30 13:00:00,f
254,2021-05-30 14:00:00,f
255,2021-05-30 15:00:00,d
256,2021-05-30 16:00:00,d
257,2021-05-30 17:00:00,e
258,2021-05-30 18:00:00,e
259,2021-05-30 19:00:00,e
260,2021-05-30 20:00:00,e
261,2021-05-30 21:00:00,e
262,2021-05-30 22:00:00,e
263,2021-05-30 23:00:00,e
264,2021-05-31 00:00:00,g
265,2021-05-31 01:00:00,h
266,2021-05-31 02:00:00,a
267,2021-05-31 03:00:00,a
268,2021-05-31 04:00:00,a
269,2021-05-31 05:00:00,a
270,2021-05-31 06:00:00,a
271,2021-05-31 07:00:00,a
272,2021-05-31 08:00:00,a
273,2021-05-31 09:00:00,f
274,2021-05-31 10:00:00,f
275,2021-05-31 11:00:00,f
276,2021-05-31 12:00:00,f
277,2021-05-31 13:00:00,f
278,2021-05-31 14:00:00,f
279,2021-05-31 15:00:00,f
280,2021-05-31 16:00:00,f
281,2021-05-31 17:00:00,d
282,2021-05-31 18:00:00,h
283,2021-05-31 19:00:00,e
284,2021-05-31 20:00:00,e
285,2021-05-31 21:00:00,e
286,2021-05-31 22:00:00,e
287,2021-05-31 23:00:00,e
288,2021-06-01 00:00:00,e
289,2021-06-01 01:00:00,e
290,2021-06-01 02:00:00,e
291,2021-06-01 03:00:00,b
292,2021-06-01 04:00:00,b
293,2021-06-01 05:00:00,b
