Unnamed: 0,time_set,events,events_cluster
0,2021-05-24 00:00:00,c,c_1
1,2021-05-24 01:00:00,c,c_1
2,2021-05-24 02:00:00,c,c_1
3,2021-05-24 03:00:00,c,c_1
4,2021-05-24 04:00:00,c,c_1
5,2021-05-24 05:00:00,c,c_1
6,2021-05-24 06:00:00,c,c_1
7,2021-05-24 07:00:00,d,d_0
8,2021-05-24 08:00:00,d,d_0
9,2021-05-24 09:00:00,e,e_1
10,2021-05-24 10:00:00,e,e_1
11,2021-05-24 11:00:00,e,e_1
12,2021-05-24 12:00:00,e,e_1
13,2021-05-24 13:00:00,e,e_1
14,2021-05-24 14:00:00,e,e_1
15,2021-05-24 15:00:00,e,e_1
16,2021-05-24 16:00:00,e,e_1
17,2021-05-24 17:00:00,f,f_1
18,2021-05-24 18:00:00,f,f_1
19,2021-05-24 19:00:00,f,f_1
20,2021-05-24 20:00:00,f,f_1
21,2021-05-24 21:00:00,f,f_1
22,2021-05-24 22:00:00,f,f_1
23,2021-05-24 23:00:00,f,f_1
24,2021-05-25 00:00:00,f,f_1
25,2021-05-25 01:00:00,h,h_1
26,2021-05-25 02:00:00,h,h_1
27,2021-05-25 03:00:00,d,d_0
28,2021-05-25 04:00:00,d,d_0
29,2021-05-25 05:00:00,e,e_1
30,2021-05-25 06:00:00,e,e_1
31,2021-05-25 07:00:00,e,e_1
32,2021-05-25 08:00:00,e,e_1
33,2021-05-25 09:00:00,e,e_1
34,2021-05-25 10:00:00,e,e_1
35,2021-05-25 11:00:00,e,e_1
36,2021-05-25 12:00:00,e,e_1
37,2021-05-25 13:00:00,d,d_1
38,2021-05-25 14:00:00,d,d_1
39,2021-05-25 15:00:00,d,d_1
40,2021-05-25 16:00:00,d,d_1
41,2021-05-25 17:00:00,d,d_1
42,2021-05-25 18:00:00,d,d_1
43,2021-05-25 19:00:00,d,d_1
44,2021-05-25 20:00:00,b,b_1
45,2021-05-25 21:00:00,b,b_1
46,2021-05-25 22:00:00,b,b_1
47,2021-05-25 23:00:00,b,b_1
48,2021-05-26 00:00:00,b,b_1
49,2021-05-26 01:00:00,b,b_1
50,2021-05-26 02:00:00,b,b_1
51,2021-05-26 03:00:00,f,f_1
52,2021-05-26 04:00:00,f,f_1
53,2021-05-26 05:00:00,f,f_1
54,2021-05-26 06:00:00,f,f_1
55,2021-05-26 07:00:00,f,f_1
56,2021-05-26 08:00:00,f,f_1
57,2021-05-26 09:00:00,f,f_1
58,2021-05-26 10:00:00,a,a_1
59,2021-05-26 11:00:00,a,a_1
60,2021-05-26 12:00:00,a,a_1
61,2021-05-26 13:00:00,a,a_1
62,2021-05-26 14:00:00,a,a_1
63,2021-05-26 15:00:00,a,a_1
64,2021-05-26 16:00:00,a,a_1
65,2021-05-26 17:00:00,a,a_1
66,2021-05-26 18:00:00,h,h_0
67,2021-05-26 19:00:00,a,a_1
68,2021-05-26 20:00:00,a,a_1
69,2021-05-26 21:00:00,a,a_1
70,2021-05-26 22:00:00,a,a_1
71,2021-05-26 23:00:00,a,a_1
72,2021-05-27 00:00:00,a,a_1
73,2021-05-27 01:00:00,a,a_1
74,2021-05-27 02:00:00,a,a_1
75,2021-05-27 03:00:00,h,h_1
76,2021-05-27 04:00:00,h,h_1
77,2021-05-27 05:00:00,c,c_1
78,2021-05-27 06:00:00,c,c_1
79,2021-05-27 07:00:00,c,c_1
80,2021-05-27 08:00:00,c,c_1
81,2021-05-27 09:00:00,c,c_1
82,2021-05-27 10:00:00,c,c_1
83,2021-05-27 11:00:00,c,c_1
84,2021-05-27 12:00:00,c,c_1
85,2021-05-27 13:00:00,b,b_1
86,2021-05-27 14:00:00,b,b_1
