Unnamed: 0,time_set,events,events_cluster
0,2021-05-19 00:00:00,c,c_1
1,2021-05-19 01:00:00,c,c_1
2,2021-05-19 02:00:00,c,c_1
3,2021-05-19 03:00:00,c,c_1
4,2021-05-19 04:00:00,c,c_1
5,2021-05-19 05:00:00,c,c_1
6,2021-05-19 06:00:00,c,c_1
7,2021-05-19 07:00:00,c,c_1
8,2021-05-19 08:00:00,c,c_1
9,2021-05-19 09:00:00,c,c_1
10,2021-05-19 10:00:00,c,c_1
11,2021-05-19 11:00:00,c,c_1
12,2021-05-19 12:00:00,c,c_1
13,2021-05-19 13:00:00,c,c_1
14,2021-05-19 14:00:00,c,c_1
15,2021-05-19 15:00:00,d,d_0
16,2021-05-19 16:00:00,d,d_0
17,2021-05-19 17:00:00,d,d_0
18,2021-05-19 18:00:00,d,d_0
19,2021-05-19 19:00:00,d,d_0
20,2021-05-19 20:00:00,d,d_0
21,2021-05-19 21:00:00,d,d_0
22,2021-05-19 22:00:00,d,d_0
23,2021-05-19 23:00:00,d,d_0
24,2021-05-20 00:00:00,d,d_0
25,2021-05-20 01:00:00,d,d_0
26,2021-05-20 02:00:00,d,d_0
27,2021-05-20 03:00:00,e,e_0
28,2021-05-20 04:00:00,e,e_0
29,2021-05-20 05:00:00,e,e_0
30,2021-05-20 06:00:00,e,e_0
31,2021-05-20 07:00:00,e,e_0
32,2021-05-20 08:00:00,d,d_0
33,2021-05-20 09:00:00,d,d_0
34,2021-05-20 10:00:00,d,d_0
35,2021-05-20 11:00:00,d,d_0
36,2021-05-20 12:00:00,d,d_0
37,2021-05-20 13:00:00,d,d_0
38,2021-05-20 14:00:00,d,d_0
39,2021-05-20 15:00:00,d,d_0
40,2021-05-20 16:00:00,d,d_0
41,2021-05-20 17:00:00,d,d_0
42,2021-05-20 18:00:00,d,d_0
43,2021-05-20 19:00:00,d,d_0
44,2021-05-20 20:00:00,c,c_1
45,2021-05-20 21:00:00,c,c_1
46,2021-05-20 22:00:00,c,c_1
47,2021-05-20 23:00:00,c,c_1
48,2021-05-21 00:00:00,c,c_1
49,2021-05-21 01:00:00,c,c_1
50,2021-05-21 02:00:00,c,c_1
