,time_set,events
0,2021-05-20 00:00:00,f
1,2021-05-20 01:00:00,f
2,2021-05-20 02:00:00,f
3,2021-05-20 03:00:00,f
4,2021-05-20 04:00:00,f
5,2021-05-20 05:00:00,f
6,2021-05-20 06:00:00,f
7,2021-05-20 07:00:00,f
8,2021-05-20 08:00:00,h
9,2021-05-20 09:00:00,e
10,2021-05-20 10:00:00,d
11,2021-05-20 11:00:00,d
12,2021-05-20 12:00:00,d
13,2021-05-20 13:00:00,d
14,2021-05-20 14:00:00,d
15,2021-05-20 15:00:00,d
16,2021-05-20 16:00:00,d
17,2021-05-20 17:00:00,d
18,2021-05-20 18:00:00,h
19,2021-05-20 19:00:00,f
20,2021-05-20 20:00:00,f
21,2021-05-20 21:00:00,f
22,2021-05-20 22:00:00,f
23,2021-05-20 23:00:00,f
24,2021-05-21 00:00:00,f
25,2021-05-21 01:00:00,f
26,2021-05-21 02:00:00,f
27,2021-05-21 03:00:00,h
28,2021-05-21 04:00:00,h
29,2021-05-21 05:00:00,g
30,2021-05-21 06:00:00,g
31,2021-05-21 07:00:00,b
32,2021-05-21 08:00:00,b
33,2021-05-21 09:00:00,b
34,2021-05-21 10:00:00,b
35,2021-05-21 11:00:00,b
36,2021-05-21 12:00:00,b
37,2021-05-21 13:00:00,b
38,2021-05-21 14:00:00,h
39,2021-05-21 15:00:00,d
40,2021-05-21 16:00:00,d
41,2021-05-21 17:00:00,d
42,2021-05-21 18:00:00,d
43,2021-05-21 19:00:00,d
44,2021-05-21 20:00:00,d
45,2021-05-21 21:00:00,d
46,2021-05-21 22:00:00,d
47,2021-05-21 23:00:00,c
48,2021-05-22 00:00:00,c
49,2021-05-22 01:00:00,c
50,2021-05-22 02:00:00,c
51,2021-05-22 03:00:00,c
52,2021-05-22 04:00:00,c
53,2021-05-22 05:00:00,c
54,2021-05-22 06:00:00,e
55,2021-05-22 07:00:00,e
56,2021-05-22 08:00:00,g
57,2021-05-22 09:00:00,g
58,2021-05-22 10:00:00,e
59,2021-05-22 11:00:00,e
60,2021-05-22 12:00:00,e
61,2021-05-22 13:00:00,e
62,2021-05-22 14:00:00,e
63,2021-05-22 15:00:00,e
64,2021-05-22 16:00:00,e
65,2021-05-22 17:00:00,f
66,2021-05-22 18:00:00,f
67,2021-05-22 19:00:00,g
68,2021-05-22 20:00:00,g
69,2021-05-22 21:00:00,h
70,2021-05-22 22:00:00,h
71,2021-05-22 23:00:00,f
72,2021-05-23 00:00:00,f
73,2021-05-23 01:00:00,f
74,2021-05-23 02:00:00,f
75,2021-05-23 03:00:00,f
76,2021-05-23 04:00:00,f
77,2021-05-23 05:00:00,f
78,2021-05-23 06:00:00,f
79,2021-05-23 07:00:00,d
80,2021-05-23 08:00:00,f
81,2021-05-23 09:00:00,a
82,2021-05-23 10:00:00,a
83,2021-05-23 11:00:00,a
84,2021-05-23 12:00:00,a
85,2021-05-23 13:00:00,a
86,2021-05-23 14:00:00,a
87,2021-05-23 15:00:00,a
88,2021-05-23 16:00:00,a
89,2021-05-23 17:00:00,b
90,2021-05-23 18:00:00,b
91,2021-05-23 19:00:00,b
92,2021-05-23 20:00:00,b
93,2021-05-23 21:00:00,b
94,2021-05-23 22:00:00,b
95,2021-05-23 23:00:00,b
96,2021-05-24 00:00:00,g
97,2021-05-24 01:00:00,g
98,2021-05-24 02:00:00,f
99,2021-05-24 03:00:00,c
100,2021-05-24 04:00:00,c
101,2021-05-24 05:00:00,c
