,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.78,0.75,0.71,0.73,0.74,0.72,0.67,0.65,0.66,0.64,0.71,0.68,0.65,0.61,0.58,0.58,1.46,0.88,1.47,0.85,1.54,1.54,,1.53,0.56,1.53,0.39,1.46,0.84
ENE,0.8,0.77,0.72,0.72,0.74,0.74,0.64,0.68,0.69,0.71,0.7,0.64,0.63,0.6,0.59,0.61,1.47,0.92,1.49,0.84,1.56,1.56,,1.56,,1.56,0.45,1.48,0.88
ESE,0.83,0.82,0.76,0.78,0.77,0.75,0.77,0.69,0.72,0.67,0.71,0.74,0.65,0.63,0.65,0.57,1.57,0.91,1.58,0.84,1.63,1.63,,1.62,,1.63,0.41,1.54,0.9
NE,0.84,0.81,0.8,0.75,0.81,0.8,0.7,0.7,0.71,0.71,0.76,0.67,0.72,0.65,0.7,0.71,1.58,1.04,1.59,1.0,1.66,1.66,,1.66,,1.66,0.48,1.58,0.93
SSW,0.94,0.93,0.86,0.91,0.75,0.75,0.85,0.77,0.73,0.72,0.68,0.75,0.73,0.66,0.64,0.58,1.62,0.94,1.65,0.91,1.71,1.71,,1.7,,1.7,,1.62,0.92
SW,0.9,0.94,0.84,0.85,0.77,0.74,0.8,0.81,0.77,0.77,0.69,0.74,0.7,0.64,0.66,0.57,1.63,1.0,1.64,0.91,1.72,1.72,,1.71,,1.71,0.48,1.63,0.94
NNE,0.88,0.87,0.84,0.81,0.83,0.88,0.74,0.74,0.78,0.78,0.79,0.74,0.75,0.72,0.62,0.66,1.69,1.32,1.7,1.1,1.77,1.77,,1.77,,1.77,0.64,1.68,0.99
SE,0.91,0.91,0.83,0.86,0.8,0.81,0.9,0.73,0.74,0.71,0.8,0.87,0.8,0.79,0.66,0.62,1.71,0.99,1.71,0.92,1.78,1.78,,1.78,,1.78,0.47,1.69,1.0
S,0.94,0.97,0.9,0.92,0.77,0.78,0.93,0.77,0.73,0.7,0.75,0.81,0.87,0.86,0.72,0.66,1.71,0.99,1.73,0.94,1.79,1.79,,1.78,,1.78,0.46,1.7,0.99
SSE,0.94,0.95,0.91,0.95,0.87,0.82,0.93,0.77,0.78,0.73,0.75,0.78,0.83,0.81,0.76,0.69,1.76,0.97,1.77,0.9,1.83,1.83,,1.82,,1.82,0.51,1.73,1.0
WSW,0.94,0.89,0.92,0.82,0.86,0.82,0.78,0.95,0.9,0.87,0.73,0.77,0.79,0.69,0.65,0.66,1.74,1.17,1.76,1.04,1.83,1.83,,1.83,,1.83,0.56,1.74,1.04
N,0.95,0.91,0.87,0.88,0.96,0.95,0.78,0.8,0.82,0.83,0.82,0.74,0.72,0.69,0.69,0.66,1.77,1.31,1.77,1.06,1.85,1.85,,1.85,,1.85,0.67,1.76,1.03
NW,0.97,0.95,1.01,0.87,1.04,1.03,0.81,0.92,1.0,0.96,0.88,0.79,0.7,0.69,0.64,0.65,1.86,2.61,1.88,1.68,1.96,1.96,,1.95,,1.95,0.78,1.85,1.07
NNW,1.09,1.04,1.15,0.95,1.17,1.14,0.83,0.92,0.96,0.91,0.93,0.82,0.75,0.71,0.65,0.69,1.97,2.21,1.99,1.63,2.06,2.06,,2.06,0.48,2.06,,1.96,1.14
WNW,1.16,1.07,1.1,0.94,1.1,0.96,0.98,1.1,1.04,0.95,0.88,0.82,0.79,0.73,0.7,0.76,1.99,2.13,2.02,1.58,2.11,2.11,,2.1,,2.11,,2.0,1.15
W,1.09,1.05,1.02,0.92,1.04,1.04,0.92,0.97,0.96,0.94,0.92,0.89,0.91,0.76,0.75,0.73,2.02,1.53,2.04,1.31,2.12,2.11,,2.11,,2.11,,2.01,1.25
PM2.5_0,0.53,0.52,0.5,0.49,0.49,0.48,0.46,0.45,0.45,0.44,0.44,0.44,0.44,0.41,0.4,0.37,0.98,0.66,0.99,0.6,1.03,1.03,0.33,1.03,0.39,1.03,0.32,0.98,0.57
PM2.5_1,0.81,0.77,0.75,0.75,0.72,0.74,0.68,0.77,0.75,0.66,0.71,0.62,0.4,0.46,0.46,0.62,1.51,0.76,1.51,0.74,1.56,1.56,,1.55,,1.55,0.28,1.48,0.81
PM10_0,0.53,0.52,0.5,0.49,0.48,0.48,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.4,0.39,0.37,0.97,0.65,0.98,0.59,1.03,1.03,0.33,1.03,0.39,1.03,0.32,0.97,0.57
PM10_1,0.81,0.79,0.75,0.78,0.76,0.75,0.75,0.76,0.79,0.7,0.78,0.67,0.44,0.53,0.52,0.64,1.58,0.78,1.57,0.75,1.62,1.62,,1.62,,1.62,0.24,1.54,0.84
TEMP_1,0.51,0.5,0.48,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.37,0.37,0.95,0.61,0.96,0.56,1.0,1.0,0.33,1.0,0.39,1.0,0.29,0.95,0.55
PRES_0,0.52,0.5,0.48,0.47,0.47,0.47,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.37,0.37,0.95,0.61,0.96,0.56,1.0,1.0,0.35,1.0,0.39,1.0,0.29,0.95,0.55
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.52,0.5,0.48,0.47,0.47,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.37,0.37,0.95,0.61,0.96,0.56,1.0,1.0,0.33,1.0,0.41,1.0,0.29,0.95,0.56
DEWP_0,1.6,1.76,1.14,1.75,,,1.3,1.15,,,,,1.55,1.33,1.08,,3.03,,3.07,1.28,3.2,3.2,,3.2,0.53,3.2,,3.04,1.63
RAIN_0,0.51,0.5,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.37,0.37,0.95,0.61,0.96,0.56,1.0,1.0,0.33,1.0,0.39,1.0,0.29,0.95,0.56
RAIN_1,1.97,1.47,1.51,1.27,,,1.21,1.34,1.55,1.63,,,,,,,2.92,,2.99,,3.05,3.05,,3.05,,3.05,0.59,2.9,1.95
WSPM_0,0.53,0.52,0.49,0.49,0.48,0.48,0.46,0.45,0.45,0.44,0.45,0.44,0.43,0.41,0.39,0.38,0.98,0.61,0.99,0.56,1.03,1.03,0.43,1.03,0.4,1.03,0.3,0.98,0.58
WSPM_1,0.78,0.74,0.75,0.7,0.73,0.7,0.66,0.71,0.67,0.71,0.63,0.64,0.58,0.54,0.54,0.54,1.42,1.11,1.44,0.95,1.49,1.49,,1.49,0.55,1.49,0.45,1.41,0.8
