,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,191.56,1.0,72.06,1.2,6.67,1.46,3.13,56.1
PRES_0,1.0,1.0,,1.0,72.08,1.2,6.67,1.46,3.13,56.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,191.78,1.0,46.57,1.2,6.64,1.46,3.13,56.65
DEWP_0,0.27,0.27,,0.21,214.96,0.26,2.45,0.43,,
WSPM_0,0.96,0.96,199.21,0.97,46.03,1.16,5.8,1.41,3.0,56.09
WSPM_1,0.62,0.62,,0.62,93.09,0.71,5.92,0.9,1.96,25.65
PM10_0,0.91,0.91,211.52,0.91,77.58,1.09,6.41,1.47,2.13,36.49
PM10_1,0.73,0.73,,0.74,,0.89,4.14,0.82,3.28,49.97
PM10_2,0.31,0.31,,0.31,,0.37,1.99,0.22,1.38,90.58
