,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,29.71,1.0,15.04,1.08,2.62,1.22,1.86,10.64
PRES_0,1.0,1.0,,1.0,15.03,1.08,2.62,1.22,1.86,10.63
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,29.64,1.0,14.09,1.08,2.62,1.22,1.85,10.84
DEWP_0,0.07,0.07,,0.08,1.13,0.08,0.17,0.09,0.14,
WSPM_0,0.92,0.92,29.04,0.93,13.11,1.0,2.42,1.13,1.7,10.0
WSPM_1,0.38,0.38,,0.38,6.26,0.41,1.0,0.46,0.77,3.58
PM10_0,0.82,0.82,24.36,0.82,13.13,0.89,2.23,1.0,1.52,10.03
PM10_1,0.54,0.54,,0.54,,0.58,1.28,0.66,1.0,5.31
PM10_2,0.09,0.09,,0.09,,0.1,0.25,0.1,0.19,1.0
