,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.43,1.0,0.46,0.92,0.52,0.88,0.72,0.39
PRES_0,1.0,1.0,,1.0,0.46,0.92,0.52,0.88,0.71,0.39
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.43,1.0,0.61,0.92,0.53,0.88,0.71,0.4
DEWP_0,5.64,5.63,,7.94,0.24,6.02,1.66,4.42,,
WSPM_0,1.05,1.05,0.42,1.05,0.6,0.96,0.61,0.93,0.73,0.4
WSPM_1,1.79,1.79,,1.8,0.47,1.72,0.65,1.49,1.5,0.68
PM10_0,1.13,1.13,0.4,1.13,0.47,1.04,0.6,0.9,1.07,0.87
PM10_1,1.45,1.45,,1.45,,1.33,0.71,1.69,0.72,0.39
PM10_2,4.13,4.13,,4.12,,3.74,2.68,4.57,2.33,0.3
