,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,5.51,1.06,2.52,1.0,7.49,1.33,2.82,1.48,2.53,2.86
TEMP_1,,,,,,,,,,,
PRES_1,1.0,6.85,1.07,1.68,1.0,6.56,1.33,2.86,1.49,2.47,2.76
PRES_0,1.0,,0.95,13.74,1.0,19.72,1.35,2.27,1.31,3.28,4.2
DEWP_0,1.0,6.4,1.06,2.5,1.0,6.76,1.33,2.83,1.48,2.53,2.86
DEWP_1,1.0,,1.07,,1.0,252.0,1.35,,1.26,3.07,
WSPM_0,1.0,6.94,1.06,2.45,1.0,5.63,1.35,2.51,1.42,2.67,3.01
WSPM_1,1.0,,1.06,2.69,1.0,,1.28,3.7,1.62,2.13,2.43
PM10_0,1.0,7.04,1.06,2.16,1.0,7.55,1.32,3.45,1.69,2.08,1.59
PM10_1,1.0,7.72,1.06,3.05,1.0,6.5,1.35,2.17,1.4,3.31,3.13
PM10_2,1.0,,1.05,3.15,1.0,10.41,1.35,1.21,0.65,2.91,8.48
