,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,23.7,14.75,5.22,158.05,10.62,24.99,2.2,9830.55,15.54,167.06,35136.96
TEMP_0,10.72,43.78,7.98,54.12,5.18,102.77,2.2,9446.54,15.04,165.45,51961.99
PRES_1,15.27,36.18,8.17,58.61,6.79,81.9,2.2,9783.93,15.41,164.81,46273.9
PRES_0,22.06,13.46,3.34,206.16,10.5,22.47,2.19,9394.37,15.11,169.15,36842.98
DEWP_1,22.05,19.74,5.56,144.51,11.02,23.73,2.21,8573.97,14.48,176.79,41073.01
DEWP_0,10.41,42.37,8.06,52.13,3.27,122.69,2.19,11393.46,16.64,149.31,46218.77
WSPM_0,17.89,27.88,6.44,108.53,8.34,56.62,2.21,8953.92,14.96,171.62,43943.98
WSPM_1,15.93,31.26,6.92,113.6,6.49,89.88,2.15,13710.99,17.33,135.43,37837.11
PM10_0,17.5,26.6,6.5,105.85,7.74,69.89,2.19,12076.3,17.94,133.74,19994.04
PM10_1,18.58,28.76,6.37,112.93,8.74,49.57,2.21,7456.63,13.67,214.07,47343.64
PM10_2,14.34,39.26,7.09,114.46,7.38,56.16,2.22,2511.16,4.61,194.23,174898.97
