,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.95,1.55,1.01,1.12,1.1,0.93,1.09,0.91,1.08,0.9
TEMP_0,1.85,0.91,1.34,0.94,1.08,1.29,1.15,1.14,1.22,0.99
PRES_0,0.98,1.05,0.96,1.69,1.08,0.91,1.04,0.93,1.07,0.86
PRES_1,1.4,1.01,2.2,0.9,1.1,1.44,1.24,1.09,1.24,1.1
DEWP_0,1.14,0.92,1.15,0.89,0.94,1.68,1.1,0.93,1.09,0.94
DEWP_1,1.07,1.25,1.09,1.26,1.9,0.92,1.13,1.08,1.2,0.95
WSPM_0,1.04,0.93,1.04,0.92,1.03,0.94,0.98,1.11,1.07,0.84
WSPM_1,1.19,1.19,1.23,1.11,1.16,1.22,1.49,0.94,1.23,1.15
PM10_0,1.0,0.92,1.01,0.89,0.97,0.95,1.01,0.89,0.98,1.17
PM10_1,1.31,1.25,1.32,1.24,1.33,1.22,1.32,1.22,1.91,0.89
