,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.45,1.27,1.34,1.11,0.61,0.56,0.9,1.13,0.69,0.93,0.65,0.84,0.79,0.95,0.73,0.72,0.96,1.13,0.98,1.19,1.0,1.0,,1.0,,1.0,1.08,1.01,0.73
ENE,1.28,1.48,0.97,1.54,0.5,0.52,1.3,0.75,0.46,0.56,0.76,1.26,0.96,0.97,0.89,0.96,1.0,1.06,1.0,1.06,1.0,1.0,,1.0,,1.0,1.24,1.01,0.67
ESE,1.38,1.12,1.57,0.8,0.72,0.64,0.74,1.47,1.02,1.13,0.52,0.77,0.56,0.55,0.8,0.78,0.94,1.47,0.96,1.35,1.0,1.0,,1.0,,1.0,0.93,1.01,0.94
NE,0.99,1.44,0.75,1.9,0.38,0.56,1.8,0.61,0.39,0.39,0.84,1.42,1.08,1.11,1.04,1.12,1.04,0.67,1.02,0.85,1.0,1.0,,1.0,,1.0,1.28,1.0,0.62
SSW,0.66,0.44,0.83,0.34,2.39,2.07,0.33,1.09,2.12,1.5,1.19,0.38,0.33,0.24,0.46,0.86,1.01,1.07,1.02,1.02,1.0,1.0,,1.0,,1.0,,0.99,1.43
SW,0.61,0.61,0.73,0.51,2.06,2.31,0.38,0.82,1.69,1.25,1.88,0.37,0.46,0.44,0.9,0.98,1.03,0.87,1.02,0.83,1.0,1.0,,1.0,,1.0,,1.0,1.48
NNE,0.96,1.35,0.66,1.82,0.27,0.44,2.28,0.44,0.24,0.28,0.69,1.85,1.11,1.91,1.0,1.05,1.03,0.66,1.02,0.74,1.0,1.0,,1.0,,1.0,1.74,1.01,0.64
SE,1.16,0.81,1.48,0.69,0.91,0.81,0.76,2.02,1.24,1.81,0.67,0.64,0.47,0.43,0.39,0.69,0.95,1.51,0.95,1.41,1.0,1.0,,1.0,,1.0,,1.01,1.12
S,0.83,0.67,1.07,0.39,2.01,1.56,0.46,1.46,2.18,1.76,1.07,0.49,0.48,0.39,0.38,0.66,0.97,1.2,0.98,1.04,1.0,1.0,,1.0,,1.0,,1.01,1.34
SSE,0.95,0.64,1.42,0.57,1.4,1.09,0.53,1.91,1.79,2.27,0.74,0.61,0.4,0.37,0.45,0.75,0.95,1.31,0.96,1.25,1.0,1.0,,1.0,,1.0,,1.01,1.16
