,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.22,0.98,0.53,1.0,0.25,0.89,0.65,0.91,0.67
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.22,0.99,0.59,1.02,0.27,0.91,0.67,0.93,0.68
PRES_0,2.05,,2.09,0.75,2.05,0.36,1.84,1.16,1.91,1.24
DEWP_0,1.0,0.21,0.98,0.53,1.0,0.25,0.9,0.65,0.91,0.67
DEWP_1,4.83,,4.86,,4.83,0.56,4.6,,3.97,3.35
WSPM_0,1.09,0.21,1.06,0.52,1.08,0.2,0.97,0.72,1.0,0.66
WSPM_1,1.44,,1.4,1.09,1.44,,1.3,0.87,1.28,1.68
PM10_0,1.08,0.25,1.05,0.62,1.08,0.51,0.96,0.71,0.97,0.77
PM10_1,1.48,,1.44,0.68,1.47,0.22,1.33,0.84,1.42,0.86
