,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,848770024420.72,1.02,4031718606.83,2.14,5562.1,5.78,216.84,428370101.98
PRES_0,1.0,1.0,,1.02,4036292828.08,2.14,5568.41,5.78,217.09,428856112.98
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,852538041603.69,1.02,1822327631.64,2.14,5533.42,5.77,217.08,430271801.92
DEWP_0,1.0,1.01,,0.6,501711198529.88,1.46,12023.51,7.07,,
WSPM_0,1.0,1.0,992650324120.4,1.02,1964650153.89,2.17,4557.62,5.76,218.77,454325348.09
WSPM_1,1.0,1.01,,1.02,16225644703.33,1.96,11487.67,5.89,205.5,275256472.65
PM10_0,1.0,1.0,1261716087514.9,1.02,5493805239.97,2.13,6035.25,7.07,122.43,184167334.75
PM10_1,1.0,1.0,,1.02,,2.16,4476.36,3.38,443.56,688679633.24
PM10_2,1.0,1.01,,1.02,,2.13,4809.41,1.77,421.21,11877632540.95
