,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.38,1.29,1.32,1.06,0.68,0.68,0.64,1.08,0.86,0.94,0.78,0.76,0.63,0.72,0.66,0.82,1.25,1.03,1.26,1.09,1.09,1.15,1.09,1.12,1.11,1.07,1.35,0.35,1.37,0.83
E,1.3,1.37,1.17,1.25,0.76,0.65,0.75,0.93,1.05,0.9,0.78,0.73,0.81,0.85,0.63,0.76,1.27,0.99,1.28,1.06,1.14,1.11,1.15,1.09,1.17,1.04,1.36,0.31,1.39,0.85
NE,1.28,1.15,1.4,0.98,0.8,0.83,0.63,1.15,0.83,0.98,0.83,0.77,0.59,0.62,0.71,0.86,1.28,1.0,1.27,1.05,1.05,1.2,1.05,1.18,1.09,1.13,1.36,0.35,1.38,0.87
ESE,1.24,1.37,1.07,1.39,0.82,0.54,0.86,0.96,1.25,0.84,0.75,0.68,1.0,1.0,0.65,0.74,1.33,1.04,1.33,1.1,1.25,1.08,1.22,1.1,1.26,1.05,1.41,0.33,1.43,1.07
SW,0.97,1.01,0.89,1.01,1.5,0.77,1.43,0.74,0.97,0.69,1.19,0.68,1.26,1.11,0.84,0.88,1.41,0.84,1.42,0.88,1.33,1.05,1.23,1.15,1.19,1.17,1.43,,1.42,1.39
NW,0.91,0.86,0.96,0.83,0.7,1.58,0.68,0.88,0.63,1.07,0.73,1.33,0.55,0.57,1.39,0.85,1.42,1.04,1.41,1.11,1.05,1.31,1.1,1.27,1.0,1.35,1.43,,1.29,1.47
SSW,1.07,1.14,0.9,1.2,1.43,0.62,1.52,0.93,1.17,0.79,1.05,0.66,1.42,1.31,0.77,0.8,1.45,0.96,1.46,0.98,1.42,1.02,1.34,1.11,1.31,1.09,1.48,,1.49,1.4
NNE,1.37,1.24,1.44,1.04,0.72,1.01,0.59,1.42,0.76,1.26,0.91,1.17,0.57,0.6,0.84,0.87,1.41,1.02,1.42,1.07,1.21,1.25,1.24,1.19,1.26,1.14,1.48,,1.47,1.01
SE,1.15,1.28,1.08,1.41,1.06,0.6,1.1,1.0,1.44,0.85,0.8,0.56,1.18,1.34,0.52,0.69,1.43,1.07,1.44,1.12,1.34,1.14,1.29,1.16,1.3,1.13,1.48,0.32,1.51,1.23
N,1.25,1.12,1.32,0.9,0.76,1.16,0.64,1.34,0.71,1.46,0.75,1.36,0.68,0.71,0.91,0.7,1.42,1.05,1.43,1.1,1.19,1.29,1.2,1.23,1.19,1.25,1.49,,1.45,1.2
WSW,0.83,0.93,0.74,0.87,1.62,0.94,1.45,0.7,0.9,0.79,1.55,0.71,1.18,1.06,0.93,1.17,1.5,0.78,1.5,0.85,1.34,1.12,1.27,1.21,1.21,1.28,1.5,,1.47,1.47
NNW,1.03,1.02,1.17,0.8,0.69,1.49,0.63,1.14,0.75,1.41,0.74,1.57,0.58,0.6,1.22,0.75,1.49,1.03,1.49,1.11,1.14,1.35,1.14,1.33,1.11,1.37,1.5,,1.42,1.49
S,1.2,1.25,1.01,1.32,1.27,0.66,1.42,0.97,1.33,0.81,1.01,0.74,1.49,1.4,0.66,0.76,1.48,1.03,1.49,1.05,1.43,1.08,1.36,1.15,1.37,1.09,1.52,,1.55,1.35
SSE,1.16,1.33,1.1,1.51,1.1,0.64,1.25,1.01,1.44,0.89,0.88,0.62,1.45,1.46,0.57,0.72,1.5,1.1,1.5,1.16,1.44,1.06,1.39,1.15,1.38,1.14,1.54,,1.57,1.29
WNW,1.0,0.96,0.97,0.92,0.85,1.66,0.79,1.03,0.8,1.19,1.01,1.28,0.73,0.73,1.61,1.3,1.52,1.04,1.51,1.09,1.25,1.35,1.27,1.3,1.16,1.42,1.55,,1.41,1.5
W,0.91,1.0,0.89,1.03,1.53,1.24,1.33,0.86,1.02,1.1,1.64,1.09,1.13,1.04,1.26,1.49,1.62,0.85,1.62,0.97,1.4,1.32,1.36,1.31,1.28,1.38,1.62,,1.62,1.51
PM2.5_0,0.82,0.81,0.81,0.76,0.74,0.75,0.71,0.75,0.69,0.75,0.69,0.73,0.67,0.65,0.69,0.63,1.05,0.5,1.05,0.6,0.89,0.82,0.87,0.83,0.86,0.84,1.03,0.27,1.02,0.91
PM2.5_1,1.18,1.23,1.09,1.14,0.86,0.47,0.86,0.85,1.05,0.71,0.73,0.5,0.89,0.94,0.45,0.64,0.87,1.4,0.9,1.38,0.95,1.13,0.99,1.09,1.0,1.03,1.25,,1.28,0.63
PM10_0,0.83,0.82,0.82,0.77,0.72,0.75,0.69,0.76,0.69,0.76,0.68,0.73,0.67,0.65,0.69,0.63,1.04,0.54,1.05,0.57,0.89,0.82,0.87,0.84,0.87,0.84,1.04,0.27,1.02,0.91
PM10_1,1.13,1.17,1.05,1.09,0.91,0.54,0.9,0.81,1.02,0.69,0.79,0.53,0.89,0.93,0.51,0.67,0.95,1.27,0.92,1.36,0.97,1.1,1.0,1.05,0.98,1.04,1.23,,1.25,0.73
TEMP_1,0.9,0.92,0.85,0.88,0.8,0.68,0.8,0.8,0.79,0.74,0.72,0.67,0.79,0.76,0.65,0.65,1.06,0.69,1.07,0.75,1.14,0.46,1.09,0.6,1.1,0.58,1.09,0.32,1.09,0.9
TEMP_0,0.92,0.89,0.92,0.82,0.74,0.8,0.68,0.77,0.74,0.79,0.71,0.77,0.65,0.66,0.71,0.66,1.05,0.82,1.05,0.86,0.49,1.18,0.6,1.12,0.54,1.13,1.11,,1.09,0.9
PRES_0,0.89,0.92,0.82,0.88,0.84,0.65,0.84,0.77,0.81,0.72,0.76,0.65,0.81,0.78,0.64,0.67,1.06,0.72,1.06,0.78,1.11,0.57,1.15,0.41,1.08,0.62,1.09,0.32,1.1,0.91
PRES_1,0.93,0.89,0.94,0.83,0.7,0.81,0.64,0.8,0.73,0.81,0.66,0.78,0.63,0.64,0.71,0.63,1.05,0.78,1.06,0.82,0.64,1.12,0.43,1.17,0.63,1.09,1.1,0.11,1.09,0.9
DEWP_1,0.92,0.95,0.86,0.91,0.83,0.59,0.82,0.77,0.82,0.72,0.75,0.6,0.8,0.79,0.58,0.65,1.05,0.73,1.06,0.77,1.12,0.55,1.09,0.61,1.15,0.38,1.09,0.32,1.11,0.84
DEWP_0,0.89,0.87,0.9,0.78,0.72,0.86,0.66,0.8,0.71,0.81,0.68,0.82,0.64,0.64,0.76,0.65,1.06,0.77,1.06,0.83,0.62,1.12,0.65,1.1,0.39,1.17,1.1,,1.07,0.97
RAIN_0,0.83,0.83,0.8,0.78,0.71,0.67,0.68,0.72,0.7,0.7,0.65,0.65,0.66,0.66,0.62,0.59,0.96,0.68,0.97,0.73,0.85,0.82,0.83,0.82,0.83,0.81,1.0,0.22,0.99,0.82
RAIN_1,2.19,1.82,1.93,2.34,,,,,1.7,,,,,,,,2.32,,2.36,,2.57,,2.5,,2.56,,2.38,2.75,2.34,2.88
WSPM_0,0.89,0.89,0.86,0.84,0.73,0.6,0.7,0.75,0.76,0.7,0.68,0.6,0.71,0.7,0.56,0.62,0.98,0.72,0.99,0.76,0.88,0.84,0.87,0.84,0.88,0.81,1.03,0.25,1.05,0.75
WSPM_1,0.83,0.83,0.88,0.76,0.87,1.11,0.84,0.83,0.69,0.94,0.76,1.03,0.73,0.71,1.0,0.69,1.22,0.84,1.22,0.87,1.03,1.03,1.01,1.03,0.93,1.12,1.23,0.22,1.12,1.31
