,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,220.45,1.17,6.89,1.49,3.45,113.13
PRES_0,1.0,1.0,,1.0,220.71,1.17,6.9,1.48,3.46,113.26
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.01,,1.17,6.79,1.48,3.46,113.63
DEWP_0,1.0,1.0,,,42003.66,0.53,29.29,2.1,,
WSPM_0,1.0,1.0,,1.01,101.77,1.25,3.92,1.47,3.54,123.82
WSPM_1,1.0,1.0,,0.99,920.57,0.67,24.45,1.6,2.91,
PM10_0,1.0,1.0,,1.0,319.09,1.15,7.71,2.05,0.8,
PM10_1,1.0,1.0,,1.01,,1.22,4.95,0.34,9.89,125.18
PM10_2,1.0,1.0,,1.01,,1.12,,,3.97,7383.46
