,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,812943786.75,1.01,14307091.44,1.71,514.17,3.57,50.84,2341426.19
PRES_0,1.0,1.0,,1.01,14298982.22,1.71,513.87,3.57,50.81,2340099.08
PRES_1,,,,,,,,,,
DEWP_1,0.99,1.0,811145287.36,1.01,9216029.06,1.7,510.73,3.55,50.62,2356728.7
DEWP_0,,,,,731569.99,0.01,3.24,0.02,,
WSPM_0,0.85,0.86,751722221.42,0.87,8126093.76,1.47,397.76,3.06,43.38,2081785.87
WSPM_1,0.15,0.15,,0.15,4341538.09,0.24,107.24,0.52,7.5,251529.99
PM10_0,0.67,0.68,666767944.52,0.68,11440783.08,1.15,367.57,2.66,25.65,1131156.33
PM10_1,0.29,0.29,,0.29,,0.5,126.14,0.79,21.05,823447.96
PM10_2,0.01,0.01,,0.01,,0.01,4.43,0.02,0.65,108984.55
