,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.54,1.76,0.57,1.23,0.57,1.26,0.61,0.66,0.64,0.66,1.21
TEMP_0,1.55,0.47,1.14,0.5,1.25,0.5,0.56,0.61,0.61,0.62,0.71
PRES_0,0.55,1.23,0.52,2.0,0.56,1.14,0.59,0.65,0.64,0.63,1.03
PRES_1,1.05,0.51,1.83,0.48,1.09,0.53,0.57,0.62,0.61,0.66,0.8
DEWP_1,0.54,1.31,0.56,1.13,0.52,2.19,0.58,0.7,0.64,0.63,1.09
DEWP_0,1.1,0.51,1.03,0.53,2.06,0.49,0.58,0.58,0.61,0.65,0.77
WSPM_0,0.93,0.97,0.94,0.98,0.92,1.02,0.79,1.06,0.9,0.86,1.16
WSPM_1,0.37,0.37,0.39,0.36,0.45,0.33,0.36,0.24,0.3,0.43,0.77
PM10_0,0.73,0.78,0.76,0.76,0.77,0.76,0.65,0.65,0.58,0.98,3.69
PM10_1,0.49,0.52,0.48,0.54,0.48,0.55,0.43,0.51,0.64,0.35,0.62
PM10_2,0.22,0.14,0.2,0.15,0.21,0.15,0.14,0.2,0.3,0.17,0.08
