,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,
PRES_1,0.93,1.08,6.66,0.51,0.93,0.86,0.93,1.06,1.08,0.91
PRES_0,,,0.06,112.01,,2.88,21.48,0.48,0.48,3.9
DEWP_0,1.0,1.0,1.0,0.99,1.0,0.83,1.0,1.0,1.01,0.99
DEWP_1,,,,,,219.08,,,,
WSPM_0,0.79,1.31,0.96,1.02,0.79,0.87,4.53,0.61,0.79,1.26
WSPM_1,3.67,,1.12,0.94,3.67,1.36,0.28,9.49,3.16,0.49
PM10_0,0.88,1.11,1.35,0.79,0.88,0.71,0.78,1.6,11.11,0.47
PM10_1,1.65,,0.52,1.81,1.65,1.99,6.59,0.23,0.18,23.54
