,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,3.0,1.0,2.11,0.96,0.68,0.93,0.86,1.1
PRES_0,1.0,1.0,3.51,1.0,2.11,0.96,0.68,0.93,0.86,1.1
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2.98,1.0,2.35,0.96,0.68,0.93,0.85,1.11
DEWP_0,0.02,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,0.01
WSPM_0,0.89,0.89,3.89,0.89,2.0,0.86,0.61,0.83,0.75,0.95
WSPM_1,0.24,0.24,,0.24,0.37,0.23,0.15,0.22,0.23,0.32
PM10_0,0.74,0.74,1.83,0.74,1.55,0.72,0.51,0.68,0.68,1.16
PM10_1,0.39,0.39,,0.39,0.77,0.38,0.26,0.38,0.29,0.3
PM10_2,0.03,0.03,,0.03,,0.03,0.02,0.03,0.02,0.01
