,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.33,0.98,0.62,1.0,0.35,0.91,0.72,0.93,0.74
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.32,0.99,0.72,1.01,0.37,0.93,0.73,0.94,0.76
PRES_0,1.72,,1.85,0.71,1.72,0.45,1.58,1.1,1.65,1.12
DEWP_0,1.0,0.32,0.98,0.62,1.0,0.36,0.91,0.72,0.93,0.74
DEWP_1,3.29,,3.24,,3.28,0.49,3.17,,,2.43
WSPM_0,1.06,0.31,1.05,0.61,1.06,0.31,0.96,0.8,1.0,0.73
WSPM_1,1.32,,1.28,1.13,1.31,,1.24,0.85,1.19,1.7
PM10_0,1.06,0.31,1.04,0.71,1.06,,0.97,0.76,0.97,0.88
PM10_1,1.34,,1.32,0.73,1.34,0.29,1.23,0.91,1.37,0.84
