,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.08,0.29,0.1,0.23,0.16,0.09,0.1,0.07,0.1,0.08,0.08
TEMP_0,0.06,0.01,0.04,0.01,0.02,0.05,0.02,0.02,0.02,0.02,0.01
PRES_0,0.13,0.23,0.12,0.83,0.22,0.12,0.14,0.11,0.15,0.12,0.1
PRES_1,0.02,0.01,0.06,,0.01,0.04,0.01,0.01,0.01,0.01,0.01
DEWP_0,0.12,0.06,0.12,0.06,0.06,0.36,0.08,0.05,0.07,0.08,0.06
DEWP_1,0.02,0.06,0.03,0.08,0.14,0.02,0.03,0.02,0.03,0.02,0.02
WSPM_0,0.17,0.14,0.17,0.17,0.18,0.15,0.13,0.15,0.16,0.12,0.09
WSPM_1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
PM10_0,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.03,0.03,0.06,0.19
PM10_1,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.01,0.02
PM10_2,,,,,,,,,,,
