,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.98,0.53,1.0,0.25,0.93,0.73,0.93,0.71
TEMP_1,,,,,,,,,,
PRES_1,1.01,,1.01,0.26,1.01,0.23,0.93,0.74,0.95,0.69
PRES_0,1.31,,0.63,1.89,1.31,,1.28,0.82,1.07,1.22
DEWP_0,1.0,,0.98,0.53,1.0,,0.93,0.73,0.94,0.71
DEWP_1,1.81,,1.54,,,4.01,1.78,,,2.38
WSPM_0,1.03,,1.01,0.57,1.03,0.27,1.05,0.48,0.93,0.8
WSPM_1,1.15,,1.14,0.52,1.15,,0.68,1.28,1.16,0.52
PM10_0,1.03,,1.02,0.47,1.03,,0.92,0.82,1.06,0.33
PM10_1,1.16,,1.1,0.81,1.16,0.41,1.19,0.45,0.49,1.4
