,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.69,1.0,0.65,0.93,0.5,0.87,0.7,0.44
PRES_0,1.0,1.0,0.91,1.0,0.65,0.93,0.49,0.87,0.7,0.44
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.69,1.0,0.75,0.93,0.5,0.87,0.7,0.46
DEWP_0,1.16,1.16,,1.25,0.09,1.07,0.42,0.95,0.84,
WSPM_0,1.0,1.0,0.75,1.0,0.7,0.92,0.51,0.87,0.68,0.44
WSPM_1,1.01,1.01,,1.01,0.47,0.93,0.43,0.86,0.8,0.45
PM10_0,1.0,1.0,0.57,1.0,0.62,0.93,0.51,0.83,0.8,0.71
PM10_1,1.0,1.0,,1.0,,0.92,0.47,0.97,0.55,0.31
PM10_2,1.0,1.0,,1.0,,0.92,0.45,1.02,0.6,0.12
