,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.92,1.08,1.07,0.87,0.98,1.04,1.08,0.65,1.04,0.83
TEMP_0,1.13,0.91,1.03,1.03,1.16,0.9,1.11,0.7,1.09,0.81
PRES_1,0.98,0.87,0.95,1.03,1.03,0.86,1.04,0.66,1.01,0.79
PRES_0,1.01,1.24,1.28,0.87,1.07,1.23,1.18,0.68,1.14,0.86
DEWP_1,0.91,1.02,1.03,0.83,0.94,1.11,1.04,0.63,1.02,0.77
DEWP_0,1.18,0.94,1.06,1.2,1.38,0.89,1.16,0.73,1.12,0.9
WSPM_0,0.89,0.89,0.94,0.81,0.92,0.89,0.98,0.62,0.96,0.7
WSPM_1,1.34,1.16,1.31,1.42,1.56,1.1,1.42,0.8,1.34,1.71
PM10_0,0.91,0.89,0.96,0.87,0.98,0.89,1.01,0.63,0.96,0.81
PM10_1,1.16,1.14,1.22,1.01,1.18,1.12,1.27,0.66,1.32,0.84
