,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.29,0.97,0.65,0.91,0.76,0.35
PRES_0,1.0,1.0,,1.0,0.29,0.97,0.65,0.91,0.76,0.35
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.97,0.64,0.91,0.76,0.35
DEWP_0,1.51,1.51,,,6.04,0.97,2.03,1.63,,
WSPM_0,1.01,1.01,,1.01,0.2,1.01,0.49,0.92,0.77,0.38
WSPM_1,1.16,1.16,,1.15,0.68,0.84,1.41,1.09,0.84,
PM10_0,1.03,1.03,,1.03,0.36,0.98,0.71,1.11,0.37,
PM10_1,1.1,1.1,,1.1,,1.09,0.58,0.48,1.41,0.39
PM10_2,1.43,1.43,,1.43,,1.3,,,1.17,3.97
