,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,778629.76,1.01,51191.96,1.37,47.52,2.21,11.91,12807.32
PRES_0,1.0,1.0,776865.96,1.01,51076.0,1.36,47.37,2.2,11.89,12778.3
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,771762.25,1.0,50498.25,1.36,47.09,2.19,11.8,12713.78
DEWP_0,,,,,1.02,,,,,0.24
WSPM_0,0.73,0.73,770795.56,0.74,35590.56,1.0,34.71,1.61,8.58,9001.54
WSPM_1,0.02,0.02,,0.02,1196.1,0.03,1.0,0.05,0.28,335.93
PM10_0,0.45,0.45,352360.96,0.46,25095.42,0.62,21.86,1.0,5.36,6348.56
PM10_1,0.08,0.08,,0.08,3037.23,0.11,3.79,0.18,1.0,993.5
PM10_2,,,,,,,,,,1.0
