,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.01,1.0,0.73,0.92,0.67,0.06
PRES_0,1.0,1.0,,1.0,0.01,1.0,0.73,0.92,0.67,0.06
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,0.01,1.0,0.73,0.92,0.67,0.06
DEWP_0,0.82,0.82,,0.82,0.72,0.82,0.77,0.82,0.69,0.36
WSPM_0,1.0,1.0,,1.0,0.01,1.0,0.71,0.92,0.67,0.06
WSPM_1,1.0,1.0,,1.0,0.03,1.0,0.87,0.92,0.7,0.07
PM10_0,1.0,1.0,,1.0,0.02,1.0,0.76,0.99,0.56,0.04
PM10_1,1.0,1.0,,1.0,0.01,1.0,0.67,0.82,0.96,0.1
PM10_2,1.0,1.0,,1.0,,1.0,0.67,0.74,0.97,0.69
