,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.82,1.0,1.84,1.08,2.37,1.18,1.59,2.97
PRES_0,1.0,1.0,1.55,1.0,1.84,1.08,2.37,1.18,1.59,2.97
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.82,1.0,1.63,1.08,2.37,1.18,1.59,2.93
DEWP_0,0.91,0.91,,0.92,12.86,0.99,2.4,1.11,1.74,7.63
WSPM_0,1.0,1.0,2.29,1.0,1.56,1.08,2.34,1.18,1.57,2.84
WSPM_1,1.0,1.0,,1.0,3.04,1.08,2.54,1.18,1.7,3.76
PM10_0,1.0,1.0,2.21,1.0,2.18,1.08,2.43,1.22,1.48,2.52
PM10_1,1.0,1.0,,1.0,1.0,1.08,2.21,1.14,1.82,3.63
PM10_2,0.99,0.99,,0.99,,1.07,2.1,1.11,1.86,8.85
