,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.26,0.96,0.62,0.91,0.73,0.31
PRES_0,1.0,1.0,,1.0,0.26,0.96,0.62,0.91,0.73,0.31
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.96,0.62,0.91,0.73,0.31
DEWP_0,59.49,59.43,,,1.1,83.64,18.04,44.49,,
WSPM_0,1.12,1.12,,1.12,0.43,1.04,0.92,1.03,0.8,0.36
WSPM_1,4.26,4.25,,4.28,0.53,5.43,1.4,3.61,3.84,
PM10_0,1.35,1.35,,1.35,0.29,1.3,0.81,1.04,2.04,
PM10_1,2.53,2.53,,2.53,,2.42,1.64,4.78,1.1,0.72
PM10_2,34.69,34.66,,34.57,,30.85,,,24.43,1.32
