,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.48,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_0,1.0,1.0,0.83,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.47,1.0,0.58,0.86,0.25,0.76,0.49,0.21
DEWP_0,1.26,1.26,,1.44,0.01,1.08,0.18,0.85,0.63,
WSPM_0,1.0,1.0,0.5,1.0,0.52,0.86,0.26,0.76,0.48,0.2
WSPM_1,1.01,1.01,,1.01,0.19,0.87,0.18,0.74,0.58,0.21
PM10_0,1.0,1.0,0.32,1.0,0.36,0.86,0.25,0.68,0.64,0.45
PM10_1,1.0,1.0,,1.0,,0.86,0.24,0.94,0.31,0.1
PM10_2,1.0,1.0,,1.0,,0.86,0.23,1.14,0.34,0.01
