,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.35,1.0,0.38,0.91,0.41,0.84,0.62,0.28
PRES_0,1.0,1.0,0.46,1.0,0.38,0.91,0.41,0.84,0.62,0.28
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.35,1.0,0.43,0.91,0.41,0.84,0.62,0.29
DEWP_0,5.92,5.92,,6.36,0.25,5.35,1.78,4.67,3.78,
WSPM_0,1.05,1.05,0.4,1.04,0.43,0.95,0.44,0.88,0.63,0.29
WSPM_1,1.8,1.8,,1.8,0.49,1.64,0.63,1.47,1.26,0.5
PM10_0,1.13,1.13,0.32,1.13,0.41,1.03,0.47,0.89,0.79,0.5
PM10_1,1.45,1.45,,1.45,,1.32,0.56,1.35,0.71,0.28
PM10_2,4.13,4.13,,4.12,,3.76,1.55,4.07,2.2,0.3
