,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.92,1.16,1.1,0.87,0.98,1.12,1.08,0.71,1.06,0.86
TEMP_0,1.22,0.91,1.02,1.1,1.2,0.9,1.12,0.73,1.09,0.84
PRES_1,1.01,0.89,0.95,1.12,1.05,0.87,1.04,0.69,1.01,0.82
PRES_0,1.02,1.25,1.38,0.87,1.08,1.33,1.18,0.76,1.16,0.89
DEWP_1,0.92,1.05,1.05,0.85,0.94,1.21,1.05,0.69,1.03,0.79
DEWP_0,1.23,0.95,1.07,1.26,1.49,0.88,1.17,0.75,1.13,0.95
WSPM_0,0.9,0.89,0.95,0.84,0.93,0.9,0.98,0.67,0.97,0.73
WSPM_1,1.34,1.24,1.34,1.38,1.62,1.11,1.45,0.81,1.34,2.02
PM10_0,0.93,0.92,0.98,0.88,0.99,0.89,1.01,0.66,0.96,0.88
PM10_1,1.21,1.14,1.23,1.07,1.19,1.17,1.27,0.74,1.39,0.84
