,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.85,0.86,0.87,0.8,0.9,0.96,0.86,0.74,0.79,0.78,0.97,0.86,0.74,0.78,0.87,0.93,1.74,1.16,1.72,1.22,1.6,1.54,1.62,1.52,1.59,1.57,1.81,0.41,1.66,1.21
E,0.89,0.86,0.93,0.8,0.93,1.03,0.85,0.79,0.8,0.88,0.96,0.93,0.79,0.72,0.87,0.86,1.8,1.14,1.78,1.19,1.6,1.61,1.6,1.62,1.59,1.66,1.85,0.38,1.69,1.26
NE,0.88,0.9,0.85,0.89,1.1,0.99,0.96,0.74,0.84,0.77,1.12,0.82,0.83,0.8,0.92,0.95,1.76,1.26,1.72,1.31,1.66,1.55,1.71,1.54,1.67,1.58,1.86,0.43,1.69,1.2
ESE,1.04,0.94,1.04,0.85,0.99,1.01,0.87,0.98,0.82,1.0,1.01,1.07,0.83,0.72,0.96,0.87,1.92,1.23,1.89,1.29,1.73,1.74,1.71,1.74,1.69,1.8,2.0,0.34,1.82,1.41
SW,1.34,1.23,1.19,1.14,0.82,1.2,0.85,1.13,0.93,1.12,0.72,1.23,0.89,0.94,1.05,0.66,1.9,1.38,1.92,1.27,1.79,1.78,1.72,1.91,1.71,1.87,2.04,,1.89,1.37
NW,1.3,1.33,1.17,1.49,1.13,0.8,1.42,0.92,1.22,0.83,1.0,0.74,1.21,1.17,0.7,0.77,1.86,2.84,1.85,2.12,1.89,1.67,2.0,1.65,2.21,1.62,2.05,,2.02,1.2
SSW,1.49,1.32,1.45,1.17,0.89,1.34,0.81,1.43,0.96,1.35,0.83,1.29,0.8,0.87,1.17,0.75,2.04,1.49,2.03,1.43,1.87,1.99,1.8,2.17,1.8,2.05,2.18,,2.02,1.48
NNE,1.07,1.11,1.03,1.05,1.19,1.16,0.96,0.84,0.95,0.84,1.27,0.95,0.89,0.87,0.96,1.03,2.02,1.66,2.0,1.67,1.88,1.94,1.93,1.87,1.94,1.88,2.19,,1.98,1.31
SE,1.21,1.06,1.23,0.95,1.13,1.25,0.96,1.26,0.83,1.24,1.06,1.06,0.83,0.8,0.96,0.88,2.12,1.39,2.11,1.4,1.92,1.91,1.88,1.99,1.85,2.0,2.2,0.41,2.01,1.67
N,1.14,1.13,1.1,1.04,1.27,1.03,1.08,0.89,1.04,0.83,1.09,0.85,1.08,1.03,0.87,0.81,2.02,1.86,2.0,1.84,1.98,1.86,2.02,1.82,2.05,1.83,2.21,,2.04,1.32
