,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,2911.92,1.01,765.79,1.36,38.74,2.08,8.73,996.4
PRES_0,1.0,1.0,2120.16,1.01,766.66,1.36,38.73,2.08,8.74,997.53
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2924.85,1.01,606.03,1.36,38.74,2.09,8.72,970.23
DEWP_0,0.82,0.82,,0.83,36753.2,1.12,39.05,1.81,9.17,6891.23
WSPM_0,1.0,1.0,3405.54,1.01,576.72,1.36,37.76,2.08,8.66,948.19
WSPM_1,1.0,1.0,,1.01,1881.17,1.36,44.51,2.09,9.1,1280.8
PM10_0,1.0,1.0,4328.64,1.01,991.76,1.36,40.0,2.19,7.56,655.42
PM10_1,0.99,1.0,,1.0,320.45,1.36,35.66,1.94,11.52,1607.26
PM10_2,0.99,0.99,,1.0,,1.35,32.95,1.84,11.77,8860.15
