,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.01,1.0,0.03,0.96,0.45,0.84,0.55,0.06
PRES_0,1.0,1.0,,1.0,0.03,0.96,0.45,0.84,0.55,0.06
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.01,1.0,0.02,0.96,0.45,0.84,0.55,0.06
DEWP_0,4.03,4.03,,3.73,0.98,3.64,2.08,3.65,2.31,
WSPM_0,1.04,1.04,0.01,1.04,0.02,1.0,0.45,0.88,0.57,0.06
WSPM_1,1.62,1.62,,1.62,0.07,1.55,0.89,1.36,0.92,0.08
PM10_0,1.1,1.1,0.01,1.1,0.03,1.06,0.52,0.99,0.51,0.05
PM10_1,1.36,1.36,,1.36,,1.31,0.54,1.01,0.97,0.1
PM10_2,3.26,3.26,,3.26,,3.14,1.37,1.8,2.42,0.81
