,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.66,0.99,0.86,0.97,0.91,0.7
PRES_0,1.0,1.0,,1.0,0.66,0.99,0.86,0.97,0.91,0.7
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.99,0.87,0.97,0.91,0.7
DEWP_0,3.45,3.45,,,0.17,4.99,1.47,2.77,,
WSPM_0,1.04,1.04,,1.03,1.03,0.99,1.19,1.02,0.92,0.77
WSPM_1,1.54,1.54,,1.56,0.49,2.02,0.71,1.4,1.73,
PM10_0,1.09,1.09,,1.09,0.61,1.09,0.92,0.9,2.06,
PM10_1,1.32,1.32,,1.32,,1.3,1.2,2.67,0.71,0.86
PM10_2,2.9,2.9,,2.89,,2.65,,,2.54,0.25
