,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.04,0.1,0.08,0.04,0.05,0.13,0.07,0.02,0.05,0.04,0.04
TEMP_0,0.06,0.02,0.03,0.06,0.06,0.02,0.04,0.01,0.03,0.02,0.01
PRES_1,0.16,0.1,0.12,0.23,0.19,0.11,0.16,0.04,0.12,0.08,0.07
PRES_0,0.01,0.02,0.02,,0.01,0.03,0.01,,0.01,0.01,0.01
DEWP_1,0.08,0.15,0.14,0.07,0.09,0.27,0.12,0.03,0.1,0.06,0.05
DEWP_0,0.03,0.01,0.01,0.03,0.05,0.01,0.02,,0.01,0.01,0.01
WSPM_0,0.37,0.39,0.44,0.34,0.43,0.44,0.45,0.13,0.36,0.22,0.17
WSPM_1,,,,,,,,,,,
PM10_0,0.07,0.07,0.08,0.07,0.09,0.07,0.08,0.02,0.06,0.05,0.17
PM10_1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,
PM10_2,,,,,,,,,,,
