,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.14,1.02,0.92,0.83,0.35,0.46,0.6,0.64,0.42,0.54,0.49,0.62,,0.62,,0.75,1.11,0.87,1.11,0.88,1.16,1.16,,1.16,,1.16,,1.17,0.61
ENE,0.99,1.11,0.72,1.1,,0.41,0.86,0.52,,,0.45,0.87,0.44,0.55,,,1.13,0.84,1.14,0.83,1.16,1.16,,1.16,,1.16,,1.17,0.64
ESE,1.17,0.93,1.18,0.59,0.42,0.35,0.4,0.96,0.66,0.68,,0.59,,,0.65,,1.1,1.0,1.14,0.89,1.18,1.18,,1.18,,1.18,,1.17,0.78
NE,0.82,1.03,0.63,1.24,,,1.08,0.5,,,,0.89,0.54,0.58,,,1.2,0.66,1.18,0.71,1.19,1.19,,1.19,,1.19,,1.2,0.63
SSW,0.49,,0.67,,1.38,1.17,,0.78,1.26,0.82,0.73,,,,,0.5,1.17,0.8,1.17,0.82,1.2,1.2,,1.2,,1.2,,1.1,1.11
SW,0.44,0.51,0.65,,1.16,1.39,,0.5,1.02,0.95,1.09,,,,0.64,0.56,1.18,0.74,1.21,0.55,1.2,1.2,,1.2,,1.2,,1.05,1.26
NNE,0.85,1.05,0.69,1.08,,,1.33,,,,,0.96,0.63,1.0,,,1.21,0.77,1.21,0.72,1.21,1.21,,1.21,,1.21,,1.21,0.74
SE,0.87,0.67,1.08,0.55,0.65,0.66,,1.35,0.68,1.11,,,,,,,1.14,1.04,1.14,1.07,1.21,1.22,,1.22,,1.21,,1.19,0.87
S,0.63,,0.73,,1.23,0.81,,1.02,1.28,1.22,0.55,,,,,,1.15,0.98,1.18,0.82,1.22,1.22,,1.22,,1.22,,1.21,0.79
SSE,0.77,,1.1,,0.96,0.62,,1.16,1.06,1.3,,,,,,,1.16,1.0,1.17,0.96,1.23,1.23,,1.23,,1.23,,1.18,0.95
WSW,0.56,0.46,,,1.01,1.31,,,0.9,,1.55,,,,,1.0,1.23,0.71,1.23,0.69,1.23,1.23,,1.23,,1.23,,1.16,1.04
N,0.67,0.77,0.58,1.01,,,1.27,,,,,1.4,0.76,0.89,0.71,,1.22,0.81,1.21,0.89,1.23,1.23,,1.22,,1.23,,1.23,0.73
NW,,0.81,,0.64,,,0.66,,,,,0.93,1.67,1.32,1.18,0.91,1.26,,1.26,,1.25,1.25,,1.24,,1.25,,1.15,1.19
NNW,0.65,0.74,,0.86,,,0.88,,,,,1.11,1.47,1.5,1.12,,1.26,0.84,1.27,,1.27,1.26,,1.26,,1.26,,1.17,1.16
WNW,,,0.72,,,0.68,,,,,,0.83,1.59,0.99,1.51,1.47,1.28,0.72,1.29,,1.29,1.29,,1.28,,1.28,,1.22,1.07
W,0.51,,,,0.98,1.18,,,,,1.66,,0.86,,0.86,1.37,1.28,0.77,1.25,,1.29,1.29,,1.29,,1.29,,1.25,0.98
PM2.5_0,0.7,0.7,0.65,0.69,0.67,0.68,0.66,0.62,0.64,0.6,0.64,0.63,0.62,0.6,0.59,0.58,1.04,0.35,1.03,0.41,1.01,1.01,,1.01,0.44,1.01,0.45,0.98,0.76
PM2.5_1,0.95,0.89,1.02,0.66,0.7,0.53,0.62,0.85,0.71,0.89,0.59,0.72,,0.38,0.48,0.47,0.56,1.83,0.8,1.71,1.16,1.16,,1.16,,1.16,,1.18,0.62
PM10_0,0.71,0.71,0.66,0.69,0.67,0.66,0.65,0.62,0.63,0.6,0.64,0.64,0.61,0.59,0.59,0.58,1.02,0.56,1.03,0.42,1.01,1.01,,1.01,0.44,1.01,0.44,0.98,0.75
PM10_1,0.94,0.88,1.01,0.69,0.71,0.78,0.72,0.88,0.77,0.91,0.49,0.64,,,,,0.82,1.65,0.7,1.84,1.18,1.18,,1.18,,1.18,,1.18,0.7
TEMP_1,0.71,0.7,0.68,0.67,0.66,0.65,0.64,0.63,0.63,0.62,0.62,0.62,0.59,0.57,0.56,0.55,0.97,0.7,0.98,0.68,1.0,1.0,,1.0,0.41,1.0,0.41,0.97,0.73
PRES_0,0.71,0.7,0.68,0.67,0.66,0.65,0.63,0.63,0.63,0.62,0.62,0.62,0.59,0.57,0.56,0.55,0.97,0.71,0.98,0.68,1.0,1.0,,1.0,0.41,1.0,0.41,0.97,0.73
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.71,0.7,0.68,0.67,0.66,0.65,0.64,0.63,0.63,0.62,0.62,0.62,0.59,0.56,0.56,0.55,0.97,0.71,0.98,0.68,1.0,1.0,,1.0,,1.0,0.42,0.98,0.73
DEWP_0,,,,,,,,,,,,,,,,,1.52,,1.51,,1.47,1.47,,,4.91,1.47,,1.03,1.92
RAIN_0,0.71,0.7,0.68,0.67,0.65,0.65,0.64,0.63,0.63,0.62,0.62,0.62,0.59,0.57,0.56,0.55,0.97,0.7,0.98,0.68,1.0,1.0,,1.0,0.41,1.0,0.35,0.98,0.73
RAIN_1,,,,,,,,,,,,,,,,,1.34,,1.36,,1.46,1.46,,1.46,,1.23,3.55,0.98,2.17
WSPM_0,0.74,0.73,0.7,0.69,0.64,0.63,0.66,0.65,0.63,0.63,0.62,0.63,0.54,0.54,0.53,0.57,0.99,0.71,0.99,0.7,1.01,1.01,,1.01,0.31,1.01,0.44,1.01,0.59
WSPM_1,0.64,0.64,0.71,0.63,0.87,0.93,0.61,0.65,0.82,0.72,0.73,0.68,0.92,0.83,0.8,0.6,1.11,0.86,1.12,0.75,1.14,1.14,,1.14,0.83,1.14,0.53,0.89,1.39
