,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.34,1.07,1.24,1.08,1.23,0.47,5.87,0.89,2.53,46.3
TEMP_0,0.75,1.0,0.81,0.92,0.8,0.92,0.35,4.41,0.66,1.88,34.76
PRES_0,0.93,1.24,1.0,1.15,1.0,1.15,0.44,5.48,0.83,2.35,43.06
PRES_1,0.8,1.09,0.87,1.0,0.88,0.99,0.38,4.76,0.72,2.04,37.72
DEWP_1,0.92,1.24,1.0,1.14,1.0,1.14,0.44,5.41,0.82,2.34,42.92
DEWP_0,0.81,1.09,0.87,1.01,0.88,1.0,0.39,4.81,0.72,2.05,37.88
WSPM_0,2.11,2.83,2.27,2.61,2.28,2.6,1.0,12.42,1.89,5.29,97.65
WSPM_1,0.17,0.23,0.18,0.21,0.18,0.21,0.08,1.0,0.15,0.44,8.22
PM10_0,1.12,1.51,1.21,1.39,1.21,1.38,0.53,6.7,1.0,2.83,57.85
PM10_1,0.4,0.53,0.43,0.49,0.43,0.49,0.19,2.26,0.35,1.0,18.23
PM10_2,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.12,0.02,0.05,1.0
