,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,2.24,1.59,1.67,1.17,0.54,0.49,0.88,1.18,0.63,0.91,0.6,0.81,0.77,0.94,0.7,0.69,0.71,1.16,0.71,1.25,1.09,0.85,,1.46,,1.46,1.08,2.21,0.62
ENE,1.65,2.28,0.96,2.03,0.43,0.44,1.43,0.69,0.4,0.5,0.72,1.35,0.95,0.96,0.88,0.96,0.98,1.07,0.97,1.08,0.5,0.78,,0.89,,0.33,1.24,1.79,0.55
ESE,1.99,1.22,2.32,0.73,0.65,0.56,0.68,1.74,1.03,1.18,0.46,0.72,0.52,0.51,0.78,0.76,0.58,1.65,0.59,1.47,0.82,1.27,,1.09,,1.09,0.93,1.89,0.9
NE,0.99,2.13,0.66,3.19,0.31,0.49,2.41,0.54,0.33,0.33,0.81,1.6,1.1,1.13,1.05,1.14,1.74,0.62,1.55,0.82,0.37,0.57,,0.65,,0.33,1.28,1.18,0.5
SSW,0.52,0.31,0.76,0.26,4.68,3.31,0.27,1.13,3.28,1.74,1.25,0.32,0.3,0.22,0.43,0.84,1.09,1.09,1.7,1.02,0.65,1.02,,1.74,,0.87,,0.54,1.99
SW,0.47,0.47,0.63,0.42,3.28,4.24,0.32,0.78,2.17,1.35,2.39,0.32,0.42,0.4,0.89,0.98,1.45,0.85,1.58,0.79,,,,,,,,0.78,2.15
NNE,0.93,1.8,0.55,2.9,0.21,0.37,3.83,0.38,0.19,0.23,0.64,2.42,1.13,2.23,1.0,1.06,1.46,0.61,1.74,0.69,,0.28,,0.72,,,1.76,4.39,0.52
SE,1.33,0.71,2.05,0.6,0.89,0.76,0.71,3.03,1.34,2.34,0.62,0.59,0.43,0.39,0.36,0.66,0.65,1.71,0.5,1.57,0.52,0.82,,1.4,,0.7,,2.83,1.21
S,0.74,0.54,1.12,0.31,3.12,1.94,0.39,1.72,3.45,2.24,1.09,0.43,0.44,0.35,0.35,0.63,0.73,1.26,0.72,1.05,,,,,,,,4.24,1.72
SSE,0.92,0.51,1.87,0.48,1.62,1.13,0.47,2.71,2.37,3.52,0.69,0.55,0.36,0.33,0.42,0.73,0.63,1.41,0.59,1.34,,,,,,,,7.63,1.29
WSW,0.57,0.42,0.52,0.49,2.03,3.05,0.33,0.76,1.46,1.2,4.37,0.52,0.85,0.36,1.1,2.12,2.09,0.67,1.68,0.59,,,,,,,,0.73,1.31
N,0.74,1.47,0.5,1.69,0.46,0.6,2.39,0.4,0.46,0.43,0.72,3.22,1.32,2.18,1.15,0.81,1.44,0.81,1.78,0.84,,0.71,,1.22,,,,1.04,0.51
NW,0.41,0.73,0.52,0.89,0.38,0.44,1.09,0.34,0.41,0.43,0.87,1.68,6.69,4.76,4.43,1.25,1.92,0.45,1.69,0.53,,,,0.3,,,,0.21,2.11
NNW,0.82,0.95,0.66,1.33,0.33,0.4,1.86,0.41,,0.28,0.56,2.43,4.66,4.68,2.95,0.95,1.77,0.68,1.9,0.81,0.28,0.43,,0.18,,0.37,,0.25,1.5
WNW,0.45,0.62,0.59,0.77,0.65,0.77,1.17,0.44,0.57,0.43,1.33,1.37,4.4,2.38,4.17,2.48,2.38,0.66,4.38,0.57,,,,0.31,,,,0.41,1.5
W,0.52,0.43,0.73,0.29,1.83,2.23,0.55,0.77,0.99,0.9,3.66,0.85,1.82,0.94,2.02,3.02,2.61,0.47,2.53,0.69,,,,,,,,1.84,1.41
PM2.5_0,0.93,1.0,0.89,1.05,1.01,1.04,1.06,0.92,0.97,0.91,1.07,1.08,1.12,1.11,1.09,1.06,9.95,0.48,10.74,0.59,0.95,0.91,1.18,0.89,1.18,0.93,1.06,0.9,1.08
PM2.5_1,1.71,1.07,2.13,0.77,0.9,0.62,0.73,1.66,1.09,1.68,0.57,0.68,0.19,0.33,0.45,0.5,0.12,34.52,0.17,12.85,1.03,1.6,,2.74,,1.37,,16.67,0.54
PM10_0,0.95,1.0,0.94,1.04,0.98,1.01,1.04,0.91,0.96,0.91,1.05,1.08,1.1,1.08,1.07,1.05,2.67,0.67,7.77,0.63,1.13,1.02,1.14,0.96,1.11,1.05,1.04,0.95,1.05
PM10_1,1.55,1.01,1.75,0.78,1.16,0.79,0.69,1.96,1.25,1.82,0.65,0.59,0.21,0.38,0.41,0.45,0.15,11.38,0.14,19.24,0.42,0.66,,1.12,,0.56,,1.51,0.6
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
