,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.53,1.0,0.66,0.86,0.27,0.78,0.52,0.24
DEWP_0,18.92,18.9,,23.36,0.1,16.18,2.74,12.73,10.62,
WSPM_0,1.08,1.08,0.54,1.08,0.67,0.93,0.32,0.84,0.55,0.24
WSPM_1,2.65,2.64,,2.65,0.48,2.3,0.49,1.96,1.61,0.65
PM10_0,1.22,1.22,0.43,1.22,0.47,1.05,0.34,0.83,0.87,0.69
PM10_1,1.86,1.86,,1.85,,1.59,0.49,1.87,0.57,0.22
PM10_2,10.64,10.62,,10.59,,9.09,3.34,14.31,3.64,0.14
