,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.3,0.98,0.59,1.0,0.32,0.91,0.69,0.92,0.71
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.29,0.99,0.66,1.01,0.34,0.92,0.7,0.93,0.73
PRES_0,1.72,,1.76,0.71,1.72,0.39,1.57,1.03,1.63,1.11
DEWP_0,1.0,0.29,0.98,0.59,1.0,0.33,0.91,0.69,0.92,0.71
DEWP_1,3.29,,3.32,,3.28,0.49,3.17,,2.73,2.43
WSPM_0,1.06,0.28,1.04,0.58,1.06,0.25,0.96,0.75,0.99,0.69
WSPM_1,1.32,,1.28,1.12,1.31,,1.2,0.85,1.19,1.64
PM10_0,1.06,0.32,1.04,0.68,1.06,0.65,0.96,0.74,0.96,0.81
PM10_1,1.34,,1.31,0.69,1.34,0.25,1.22,0.81,1.31,0.83
