,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.93,1.0,0.94,0.87,0.9,0.91,0.86,0.89,0.91,0.93,0.9,0.87,0.84,0.88,1.25,0.92,1.25,0.97,1.27,1.27,,1.27,,1.27,0.66,1.25,0.96
ENE,0.99,1.0,0.92,0.97,0.93,0.91,0.84,0.85,0.86,0.89,0.98,0.89,0.9,0.9,0.93,1.07,1.25,0.94,1.26,0.96,1.28,1.28,,1.28,,1.28,0.8,1.26,0.93
ESE,1.04,1.06,1.0,0.98,0.91,0.93,1.02,0.99,0.95,0.9,0.84,0.99,0.85,0.8,0.88,0.83,1.3,0.97,1.3,0.96,1.32,1.32,,1.31,,1.32,0.56,1.29,1.05
NE,0.97,1.0,0.93,1.0,1.03,1.03,0.93,0.89,0.89,0.85,1.06,0.91,0.94,0.9,0.99,1.16,1.3,1.05,1.31,1.11,1.33,1.33,,1.33,,1.33,0.68,1.31,0.96
SSW,1.13,1.07,1.11,1.02,1.0,1.0,1.14,1.04,0.99,1.03,0.87,0.97,0.89,0.85,0.81,0.7,1.33,1.11,1.34,1.01,1.35,1.35,,1.35,,1.35,,1.33,1.17
SW,1.18,1.17,1.1,1.02,1.01,1.0,0.95,1.04,1.05,1.08,0.94,0.88,0.91,0.75,0.95,0.75,1.33,1.07,1.33,0.93,1.36,1.36,,1.36,,1.36,,1.33,1.16
NNE,1.03,1.08,0.99,1.05,0.91,1.09,1.0,0.84,0.78,0.79,1.14,1.01,0.95,1.0,0.87,1.04,1.35,1.17,1.36,1.14,1.38,1.38,,1.38,,1.38,1.02,1.36,0.95
SE,1.11,1.11,1.04,1.07,0.93,0.97,1.23,1.0,0.97,0.98,0.9,1.08,0.99,0.92,0.72,0.82,1.39,1.06,1.37,0.99,1.39,1.38,,1.38,,1.38,0.61,1.36,1.21
S,1.2,1.19,1.13,1.13,0.99,0.98,1.33,1.07,1.0,0.97,0.9,1.05,0.96,0.96,0.78,0.73,1.36,1.06,1.37,1.02,1.39,1.39,,1.39,,1.39,,1.36,1.17
SSE,1.1,1.13,1.16,1.11,1.02,1.01,1.24,1.02,1.02,1.0,0.8,1.04,0.95,1.01,0.98,0.82,1.38,1.02,1.39,1.02,1.4,1.4,,1.4,,1.4,0.81,1.38,1.18
WSW,1.06,0.99,1.14,0.91,1.17,1.05,0.88,1.14,1.2,1.17,1.0,0.9,0.98,0.82,0.88,0.91,1.38,1.1,1.38,1.03,1.41,1.41,,1.41,,1.41,,1.38,1.32
N,1.1,1.08,1.0,1.05,1.1,1.27,1.04,0.94,1.01,0.94,1.11,1.01,0.88,0.97,0.91,0.95,1.4,1.23,1.4,1.18,1.42,1.42,,1.42,,1.42,,1.39,0.98
