,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.92,1.29,1.13,0.88,0.99,1.18,1.09,0.76,1.07,0.89
TEMP_0,1.37,0.91,1.03,1.19,1.21,0.91,1.12,0.79,1.1,0.89
PRES_1,1.04,0.91,0.95,1.24,1.06,0.88,1.05,0.72,1.02,0.86
PRES_0,1.03,1.3,1.52,0.87,1.08,1.4,1.19,0.85,1.18,0.93
DEWP_1,0.93,1.08,1.08,0.87,0.94,1.36,1.05,0.76,1.05,0.83
DEWP_0,1.29,0.96,1.07,1.29,1.66,0.88,1.18,0.78,1.14,1.0
WSPM_0,0.93,0.91,0.96,0.86,0.94,0.92,0.98,0.74,0.98,0.77
WSPM_1,1.34,1.3,1.36,1.34,1.65,1.13,1.51,0.81,1.35,2.1
PM10_0,0.94,0.94,0.99,0.9,0.99,0.9,1.02,0.7,0.97,0.97
PM10_1,1.27,1.14,1.25,1.1,1.21,1.2,1.28,0.85,1.5,0.84
