,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.25,1.0,0.43,1.11,2.04,1.14,1.33,1.06
PRES_0,1.0,1.0,,1.0,0.43,1.11,2.04,1.14,1.33,1.06
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.25,1.0,0.26,1.11,2.04,1.14,1.33,1.06
DEWP_0,0.97,0.98,,0.82,37.64,1.0,2.97,1.29,1.34,
WSPM_0,1.0,1.0,0.29,1.0,0.28,1.11,1.87,1.14,1.33,1.11
WSPM_1,1.0,1.0,,1.0,1.29,1.1,3.04,1.15,1.33,0.77
PM10_0,1.0,1.0,0.37,1.0,0.58,1.11,2.17,1.3,0.96,0.57
PM10_1,1.0,1.0,,1.0,,1.11,1.75,0.88,2.22,1.8
PM10_2,1.0,1.0,,1.0,,1.12,1.78,0.54,2.29,17.91
