,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.8,2.84,0.96,2.25,1.57,0.84,1.0,0.68,0.99,0.83,0.77
TEMP_0,3.76,0.66,2.46,0.81,1.04,3.1,1.15,1.09,1.2,1.22,0.9
PRES_0,0.88,1.51,0.82,5.55,1.46,0.82,0.94,0.73,0.99,0.78,0.64
PRES_1,2.71,0.85,7.66,0.6,1.08,4.35,1.28,0.96,1.18,1.41,1.32
DEWP_0,1.56,0.79,1.65,0.81,0.76,4.84,1.06,0.72,0.95,1.03,0.86
DEWP_1,1.01,2.41,1.09,3.43,5.48,0.68,1.08,0.97,1.26,0.91,0.8
WSPM_0,1.12,0.93,1.16,1.1,1.21,0.99,0.84,0.96,1.03,0.81,0.63
WSPM_1,1.41,1.67,1.62,1.53,1.36,1.9,1.63,0.66,1.12,1.31,1.42
PM10_0,1.33,1.14,1.5,1.13,1.18,1.52,1.14,0.75,0.73,1.76,5.24
PM10_1,1.27,1.33,1.34,1.57,1.56,1.18,1.12,0.97,2.06,0.7,0.94
PM10_2,3.17,2.48,2.89,3.71,3.39,2.78,2.46,2.6,9.88,2.58,0.34
