,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.34,0.2,0.63,1.04,1.14,0.24,1.04,0.79,0.93,0.84,0.32
TEMP_0,0.22,1.42,1.13,0.26,0.48,1.15,1.01,0.72,0.85,0.8,0.56
PRES_1,0.6,1.04,1.22,0.16,0.64,0.92,1.01,0.79,0.92,0.77,0.44
PRES_0,1.21,0.27,0.2,1.66,1.17,0.18,1.05,0.7,0.83,0.92,0.42
DEWP_1,1.11,0.45,0.68,0.96,1.26,0.1,1.07,0.52,0.8,0.97,0.46
DEWP_0,0.34,1.29,1.17,0.21,0.13,1.59,0.95,1.14,1.04,0.59,0.39
WSPM_0,0.82,0.76,0.85,0.69,0.88,0.59,1.07,0.52,0.84,0.89,0.48
WSPM_1,0.77,0.82,0.95,0.57,0.52,1.12,0.76,2.12,1.2,0.44,0.13
PM10_0,0.82,0.75,0.9,0.6,0.72,0.81,0.98,1.13,1.29,0.38,0.05
PM10_1,0.84,0.77,0.81,0.77,0.98,0.46,1.08,0.32,0.46,1.59,0.39
PM10_2,0.63,0.99,0.88,0.74,0.84,0.6,1.08,0.09,0.02,0.76,3.04
