,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.0,0.98,1.01,1.0,1.0,1.0,0.99,1.0,0.99
TEMP_0,0.98,1.0,0.98,1.01,0.99,0.96,1.0,0.99,1.01,1.01,1.01
PRES_0,1.0,1.01,1.0,1.01,1.01,0.99,1.0,1.0,0.99,1.0,0.96
PRES_1,0.98,0.99,0.97,1.0,0.99,0.98,0.99,0.99,1.01,1.01,1.1
DEWP_0,0.99,1.0,0.99,1.0,1.0,0.97,1.0,1.0,1.01,1.0,1.05
DEWP_1,1.0,1.01,1.0,1.01,1.01,1.0,1.0,1.0,0.98,1.0,0.93
WSPM_0,0.99,1.0,0.98,1.02,1.0,0.97,1.0,1.0,1.0,0.99,0.93
WSPM_1,1.01,1.0,1.02,0.96,1.0,1.04,1.0,1.0,1.0,1.03,1.18
PM10_0,1.0,0.99,1.01,0.99,0.99,1.02,1.0,1.0,1.0,1.0,1.34
PM10_1,0.99,1.01,0.97,1.01,1.01,0.96,1.0,1.0,1.03,1.0,0.84
PM10_2,1.0,1.01,1.04,1.01,1.03,1.02,1.0,0.96,0.77,1.0,1.0
