,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.67,1.01,0.94,1.0,0.87,1.07,1.22,1.04,1.11
TEMP_1,,,,,,,,,,
PRES_1,1.0,0.74,1.02,0.8,1.0,0.85,1.07,1.24,1.04,1.09
PRES_0,1.2,,1.17,2.23,1.2,1.42,1.3,1.23,1.25,1.6
DEWP_0,1.0,0.71,1.01,0.94,1.0,0.84,1.07,1.22,1.04,1.11
DEWP_1,1.5,,1.52,,1.5,5.34,1.66,,1.29,2.32
WSPM_0,1.02,0.71,1.03,0.91,1.02,0.67,1.09,1.19,1.06,1.12
WSPM_1,1.1,,1.11,1.26,1.1,,1.15,1.49,1.15,1.41
PM10_0,1.02,0.81,1.03,0.95,1.02,1.19,1.08,1.35,1.09,1.01
PM10_1,1.1,,1.12,1.13,1.1,0.77,1.19,0.88,1.05,1.54
