,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.01,50531.39,1.37,47.58,2.21,11.92,12797.99
PRES_0,1.0,1.0,,1.01,50416.93,1.36,47.47,2.2,11.89,12769.0
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,,1.0,,1.36,47.14,2.19,11.81,12685.11
DEWP_0,,,,,1.0,,,,,
WSPM_0,0.73,0.73,,0.74,37427.37,1.0,34.77,1.62,8.63,9993.11
WSPM_1,0.02,0.02,,0.02,1052.86,0.03,1.0,0.05,0.27,
PM10_0,0.45,0.45,,0.46,23166.4,0.62,21.94,1.0,5.37,
PM10_1,0.08,0.08,,0.08,,0.12,3.69,0.19,1.0,1052.97
PM10_2,,,,,,,,,,1.0
