,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,1.15,0.98,1.09,1.07,0.91,1.0,0.84,1.03,0.85
TEMP_0,1.33,0.89,1.25,0.91,1.02,1.21,1.06,0.98,1.14,0.94
PRES_0,0.95,0.99,0.95,1.28,1.05,0.89,0.98,0.85,1.02,0.82
PRES_1,1.26,0.97,1.56,0.87,1.04,1.37,1.11,0.94,1.15,1.01
DEWP_0,1.08,0.9,1.1,0.89,0.93,1.28,1.02,0.86,1.04,0.88
DEWP_1,1.02,1.14,1.05,1.17,1.42,0.9,1.04,0.93,1.11,0.88
WSPM_0,0.99,0.91,1.01,0.92,1.0,0.92,0.95,0.9,1.03,0.8
WSPM_1,1.13,1.08,1.16,1.06,1.11,1.17,1.16,0.89,1.13,1.06
PM10_0,0.97,0.9,1.0,0.89,0.96,0.93,0.95,0.83,0.96,0.93
PM10_1,1.19,1.13,1.21,1.15,1.21,1.14,1.18,0.99,1.4,0.85
