,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.4,0.98,0.67,1.0,0.41,0.92,0.73,0.93,0.76
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.39,0.99,0.74,1.01,0.44,0.93,0.74,0.94,0.77
PRES_0,1.44,,1.48,0.67,1.44,0.43,1.33,0.91,1.38,0.99
DEWP_0,1.0,0.39,0.98,0.67,1.0,0.42,0.92,0.73,0.93,0.76
DEWP_1,2.24,,2.26,,2.24,0.43,2.19,,1.88,1.76
WSPM_0,1.04,0.37,1.03,0.64,1.04,0.32,0.96,0.78,0.98,0.72
WSPM_1,1.2,,1.18,1.15,1.2,,1.11,0.82,1.1,1.6
PM10_0,1.04,0.43,1.02,0.75,1.04,0.82,0.95,0.77,0.96,0.84
PM10_1,1.22,,1.2,0.71,1.22,0.3,1.13,0.78,1.2,0.81
