,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.86,0.66,0.93,2.08,1.54,0.47,1.16,3.88,1.47,2.09,1.94
TEMP_0,0.78,2.11,1.47,0.66,0.71,2.12,1.16,3.95,1.42,2.03,2.8
PRES_1,1.16,1.73,1.51,0.67,0.95,1.69,1.16,3.98,1.46,2.03,2.47
PRES_0,1.73,0.61,0.54,2.85,1.52,0.41,1.16,3.78,1.42,2.13,2.1
DEWP_1,1.72,0.91,1.0,1.92,1.61,0.42,1.17,3.36,1.36,2.24,2.32
DEWP_0,0.76,2.05,1.48,0.61,0.41,2.59,1.15,4.8,1.58,1.78,2.38
WSPM_0,1.38,1.32,1.17,1.42,1.19,1.14,1.17,3.54,1.4,2.14,2.41
WSPM_1,1.19,1.5,1.25,1.42,0.9,1.86,1.12,6.06,1.69,1.61,1.92
PM10_0,1.35,1.27,1.19,1.34,1.08,1.45,1.15,5.05,1.76,1.55,0.9
PM10_1,1.43,1.35,1.14,1.51,1.27,0.96,1.17,2.82,1.21,2.84,2.58
PM10_2,1.11,1.82,1.27,1.54,1.08,1.15,1.17,0.8,0.31,2.39,10.68
