,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,778629.76,1.01,50770.62,1.37,47.53,2.21,11.92,12797.99
PRES_0,1.0,1.0,,1.01,50655.61,1.36,47.42,2.2,11.89,12769.0
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,771762.25,1.0,46608.08,1.36,47.14,2.19,11.8,12908.52
DEWP_0,,,,,1.07,,,,,
WSPM_0,0.73,0.73,569270.25,0.74,33610.77,1.0,34.71,1.62,8.6,9539.05
WSPM_1,0.02,0.02,,0.02,1161.68,0.03,1.0,0.05,0.27,229.85
PM10_0,0.45,0.45,352360.96,0.46,23825.29,0.62,22.39,1.0,5.37,6947.57
PM10_1,0.08,0.08,,0.08,,0.11,3.55,0.19,1.0,984.59
PM10_2,,,,,,,,,,1.0
