,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.75,0.74,0.76,0.71,0.78,0.81,0.71,0.65,0.69,0.68,0.81,0.76,0.67,0.67,0.74,0.76,1.31,0.96,1.29,1.0,1.25,1.22,1.26,1.2,1.25,1.25,1.36,0.49,1.26,0.95
E,0.76,0.75,0.79,0.7,0.77,0.82,0.73,0.67,0.69,0.7,0.79,0.76,0.69,0.65,0.71,0.73,1.33,0.94,1.32,0.97,1.24,1.26,1.22,1.26,1.24,1.31,1.37,0.42,1.27,0.98
NE,0.77,0.77,0.74,0.74,0.81,0.84,0.75,0.66,0.71,0.67,0.84,0.74,0.66,0.66,0.76,0.76,1.31,1.03,1.3,1.07,1.28,1.21,1.32,1.2,1.3,1.24,1.37,0.6,1.28,0.94
ESE,0.82,0.78,0.84,0.72,0.82,0.82,0.75,0.77,0.7,0.8,0.83,0.79,0.71,0.66,0.75,0.7,1.38,0.98,1.36,1.01,1.28,1.31,1.27,1.32,1.26,1.36,1.42,0.39,1.32,1.02
SW,0.91,0.88,0.86,0.83,0.71,0.95,0.74,0.82,0.76,0.92,0.66,0.94,0.74,0.76,0.85,0.61,1.36,1.03,1.37,0.93,1.32,1.33,1.26,1.44,1.27,1.39,1.44,0.51,1.34,1.06
NW,0.93,0.99,0.86,1.1,0.91,0.7,1.09,0.74,1.0,0.69,0.79,0.64,0.96,1.01,0.63,0.68,1.34,2.28,1.33,1.65,1.39,1.22,1.51,1.23,1.64,1.21,1.44,0.77,1.38,0.95
SSW,0.96,0.9,0.96,0.86,0.75,1.03,0.7,0.95,0.76,0.95,0.71,0.89,0.67,0.71,0.92,0.65,1.41,1.07,1.41,1.03,1.33,1.43,1.29,1.57,1.29,1.47,1.49,,1.39,1.1
NNE,0.86,0.85,0.84,0.81,0.87,0.85,0.74,0.71,0.72,0.7,0.84,0.78,0.68,0.68,0.76,0.78,1.4,1.24,1.39,1.26,1.35,1.39,1.39,1.33,1.39,1.36,1.49,0.79,1.38,0.98
SE,0.9,0.82,0.87,0.75,0.86,0.94,0.78,0.89,0.7,0.92,0.84,0.85,0.72,0.69,0.78,0.73,1.45,1.02,1.44,1.04,1.37,1.38,1.34,1.44,1.31,1.43,1.5,0.38,1.39,1.17
N,0.9,0.87,0.89,0.82,0.86,0.81,0.79,0.73,0.81,0.7,0.77,0.72,0.82,0.79,0.71,0.63,1.4,1.41,1.39,1.36,1.4,1.32,1.46,1.3,1.47,1.32,1.5,0.78,1.4,0.99
WSW,0.78,0.8,0.77,0.8,0.83,1.01,0.88,0.78,0.81,0.86,0.69,0.94,0.88,0.82,0.78,0.6,1.43,1.03,1.43,0.97,1.38,1.31,1.33,1.45,1.33,1.44,1.51,0.62,1.4,1.18
NNW,0.97,0.97,0.91,0.95,0.9,0.76,0.99,0.76,1.04,0.71,0.77,0.67,0.95,0.97,0.7,0.63,1.41,2.06,1.39,1.72,1.46,1.3,1.57,1.3,1.64,1.28,1.52,,1.43,1.02
S,0.97,0.9,1.01,0.84,0.79,1.08,0.72,0.99,0.76,0.98,0.78,0.93,0.69,0.68,0.93,0.69,1.48,1.09,1.48,1.07,1.38,1.47,1.34,1.55,1.34,1.5,1.54,,1.43,1.15
SSE,0.95,0.89,1.01,0.86,0.83,1.01,0.76,0.98,0.72,0.96,0.81,0.95,0.73,0.68,0.88,0.72,1.51,1.06,1.5,1.09,1.4,1.46,1.37,1.56,1.37,1.51,1.56,0.45,1.45,1.19
WNW,1.05,1.03,0.98,1.06,0.86,0.79,0.96,0.86,1.04,0.8,0.84,0.72,0.95,0.99,0.66,0.75,1.45,2.02,1.44,1.6,1.47,1.37,1.52,1.37,1.65,1.33,1.57,,1.51,1.04
W,0.89,0.88,0.87,0.9,0.97,0.98,0.93,0.8,0.88,0.89,0.84,0.94,0.97,0.92,0.76,0.67,1.53,1.22,1.53,1.18,1.5,1.43,1.49,1.52,1.49,1.45,1.64,,1.53,1.25
PM2.5_0,0.61,0.59,0.6,0.56,0.57,0.61,0.54,0.54,0.53,0.55,0.53,0.56,0.51,0.51,0.54,0.48,0.97,0.88,0.96,0.83,0.94,0.94,0.95,0.95,0.96,0.95,1.03,0.4,0.97,0.74
PM2.5_1,0.72,0.72,0.71,0.69,0.79,0.59,0.75,0.63,0.69,0.58,0.81,0.56,0.7,0.66,0.53,0.67,1.32,0.78,1.26,0.82,1.2,1.09,1.16,1.11,1.17,1.12,1.26,0.23,1.17,0.83
PM10_0,0.61,0.59,0.61,0.57,0.56,0.62,0.54,0.54,0.53,0.55,0.53,0.56,0.51,0.51,0.54,0.48,0.97,0.88,0.96,0.85,0.95,0.94,0.95,0.96,0.96,0.96,1.04,0.39,0.97,0.74
PM10_1,0.71,0.7,0.7,0.67,0.8,0.6,0.75,0.62,0.67,0.58,0.82,0.57,0.7,0.65,0.54,0.67,1.28,0.78,1.26,0.8,1.17,1.07,1.14,1.09,1.16,1.1,1.24,,1.16,0.84
TEMP_1,0.64,0.63,0.65,0.59,0.6,0.66,0.56,0.58,0.56,0.58,0.57,0.6,0.53,0.52,0.57,0.52,1.03,0.87,1.02,0.84,0.91,1.24,0.92,1.2,0.92,1.21,1.09,0.34,1.02,0.77
TEMP_0,0.65,0.63,0.63,0.62,0.64,0.62,0.63,0.56,0.59,0.57,0.61,0.57,0.6,0.59,0.55,0.53,1.07,0.82,1.06,0.83,1.3,0.89,1.23,0.91,1.31,0.92,1.11,,1.04,0.8
PRES_0,0.64,0.62,0.64,0.59,0.62,0.63,0.58,0.56,0.56,0.56,0.59,0.58,0.55,0.53,0.55,0.52,1.04,0.85,1.03,0.83,0.93,1.18,0.9,1.36,0.93,1.19,1.09,0.35,1.02,0.77
PRES_1,0.65,0.64,0.64,0.62,0.61,0.64,0.59,0.58,0.58,0.58,0.58,0.58,0.56,0.56,0.57,0.53,1.06,0.83,1.05,0.84,1.19,0.9,1.36,0.9,1.23,0.92,1.11,0.6,1.03,0.8
DEWP_1,0.64,0.62,0.64,0.59,0.62,0.64,0.58,0.56,0.56,0.57,0.59,0.58,0.54,0.53,0.57,0.52,1.04,0.84,1.03,0.84,0.92,1.23,0.93,1.18,0.9,1.39,1.1,0.34,1.02,0.78
DEWP_0,0.65,0.64,0.64,0.62,0.62,0.63,0.6,0.59,0.58,0.58,0.58,0.58,0.59,0.57,0.56,0.52,1.06,0.85,1.05,0.83,1.21,0.89,1.19,0.92,1.43,0.9,1.1,,1.04,0.78
RAIN_0,0.59,0.57,0.58,0.55,0.56,0.58,0.53,0.52,0.52,0.52,0.53,0.53,0.51,0.5,0.51,0.47,0.95,0.76,0.94,0.76,0.92,0.9,0.92,0.91,0.92,0.92,1.0,0.36,0.93,0.71
