,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.48,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_0,1.0,1.0,0.83,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.48,1.0,0.58,0.86,0.25,0.76,0.49,0.21
DEWP_0,18.92,18.9,,21.63,0.1,16.18,2.74,12.73,9.44,
WSPM_0,1.08,1.08,0.54,1.08,0.56,0.93,0.28,0.82,0.51,0.21
WSPM_1,2.65,2.65,,2.65,0.51,2.29,0.48,1.95,1.52,0.55
PM10_0,1.22,1.22,0.39,1.22,0.44,1.05,0.3,0.83,0.78,0.55
PM10_1,1.86,1.86,,1.85,,1.59,0.44,1.74,0.57,0.19
PM10_2,10.64,10.62,,10.59,,9.09,2.45,12.13,3.64,0.14
