,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1151902175999.55,1.02,5711601359.68,2.18,8259.9,6.28,273.64,718149876.84
PRES_0,1.0,1.0,,1.02,5718081506.44,2.18,8265.72,6.28,273.95,718964660.0
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1157015913605.01,1.02,3509668031.32,2.18,8243.19,6.28,273.62,717119669.86
DEWP_0,0.97,0.98,,0.84,501711198529.88,1.96,12023.51,7.07,276.62,
WSPM_0,1.0,1.0,1347168297020.55,1.02,3772128295.47,2.18,7573.94,6.28,273.75,751478683.86
WSPM_1,1.0,1.01,,1.02,17152824400.66,2.15,12306.48,6.32,272.98,521538579.75
PM10_0,1.0,1.01,1712328975913.08,1.02,7691327335.95,2.18,8765.86,7.14,197.77,383942070.75
PM10_1,1.0,1.0,,1.02,,2.18,7075.34,4.85,457.95,1217875561.95
PM10_2,1.0,1.01,,1.02,,2.19,7214.11,2.98,471.51,12115185191.77
