,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,1.0,0.78,0.97,0.97,0.88,0.96,0.86,0.88,0.78,0.9,0.75,0.76,0.76,0.97,0.63,0.67,1.33,1.15,1.34,1.14,1.42,,1.4,0.93,1.42,,1.42,1.35,1.05
NW,1.22,1.0,1.02,1.17,0.92,0.91,1.2,0.77,0.88,0.81,0.93,0.68,0.91,0.71,,,1.36,1.91,1.36,1.43,1.45,,1.43,1.08,1.45,,1.45,1.37,1.14
NE,1.03,0.98,1.0,1.03,0.84,0.89,0.87,0.91,0.91,0.97,0.78,0.91,0.75,1.03,0.69,0.56,1.36,1.18,1.34,1.19,1.46,,1.44,0.95,1.46,,1.46,1.39,1.05
E,1.0,0.92,1.0,1.0,0.87,0.91,0.96,0.9,0.82,0.93,0.85,0.84,0.74,0.94,0.77,0.64,1.43,1.13,1.43,1.1,1.47,,1.45,0.86,1.47,,1.47,1.4,1.07
NNW,1.12,1.07,1.23,1.19,1.0,0.95,0.89,1.02,1.05,0.83,0.93,,,0.73,,,1.46,1.73,1.48,1.65,1.56,,1.53,1.24,1.56,,1.56,1.47,1.24
N,1.03,1.07,1.13,1.06,1.04,1.0,0.9,0.96,0.93,0.78,0.8,0.97,,0.75,0.78,0.93,1.46,1.56,1.47,1.56,1.58,,1.54,1.12,1.57,,1.58,1.49,1.24
ESE,1.14,0.87,1.09,1.01,1.2,1.08,1.0,1.05,0.83,0.92,0.97,0.92,0.86,0.85,0.79,0.83,1.55,1.24,1.53,1.21,1.59,,1.57,0.86,1.59,,1.59,1.51,1.36
NNE,1.11,1.28,1.1,1.09,1.06,0.99,1.02,1.0,0.99,1.01,0.99,0.74,0.9,0.9,0.79,,1.5,1.43,1.52,1.39,1.63,,1.6,0.99,1.63,,1.63,1.5,1.22
WNW,1.27,1.17,1.04,1.1,0.97,1.01,1.11,0.99,1.0,1.02,,0.76,0.74,1.15,0.89,,1.52,1.83,1.52,1.6,1.65,,1.63,1.07,1.65,,1.65,1.56,1.31
WSW,0.97,1.34,0.91,0.99,1.3,1.15,1.04,0.91,0.95,1.0,0.99,1.18,1.19,0.79,1.12,1.37,1.68,1.06,1.71,1.05,1.71,,1.7,1.03,1.71,,1.71,1.63,1.65
SE,1.27,,1.34,1.2,0.99,1.47,1.02,1.07,,1.05,1.0,0.97,0.91,1.15,1.03,0.99,1.67,1.31,1.69,1.32,1.75,,1.75,1.02,1.74,,1.75,1.66,1.4
SW,1.26,1.59,1.09,1.24,,1.06,1.19,1.08,1.34,0.88,1.06,1.0,1.1,0.85,1.07,1.12,1.76,1.1,1.73,1.04,1.75,,1.74,1.02,1.75,,1.75,1.68,1.45
SSW,1.27,1.25,1.24,1.22,1.29,,1.17,1.11,1.55,0.89,1.1,1.08,1.02,1.05,1.11,1.17,1.78,1.02,1.79,1.0,1.83,,1.83,1.1,1.83,,1.83,1.75,1.5
W,0.97,1.38,0.88,0.95,1.28,1.21,1.05,1.0,1.03,1.31,0.87,1.16,1.05,1.0,1.06,,1.74,1.28,1.77,1.2,1.81,,1.77,1.08,1.81,,1.81,1.73,1.68
S,1.59,,1.34,1.29,,1.36,1.23,1.22,1.19,0.94,1.04,0.93,0.97,1.04,1.0,0.94,1.79,1.22,1.8,1.24,1.84,,1.83,1.2,1.84,,1.84,1.74,1.62
SSE,1.67,,1.77,1.41,,1.21,1.35,,,0.97,1.01,0.89,0.97,,1.1,1.0,1.91,1.3,1.92,1.3,1.91,,1.89,1.1,1.91,,1.91,1.82,1.5
PM2.5_0,0.75,0.75,0.73,0.7,0.69,0.69,0.65,0.67,0.66,0.59,0.58,0.57,0.54,0.57,0.54,0.52,1.0,0.83,1.0,0.82,1.05,0.32,1.04,0.69,1.05,,1.05,1.0,0.86
PM2.5_1,0.87,0.64,0.84,0.89,0.63,0.68,0.84,0.71,0.53,0.9,0.76,0.87,0.93,0.75,0.82,0.75,1.21,1.0,1.21,0.99,1.26,,1.25,0.78,1.26,0.4,1.26,1.21,0.8
PM10_0,0.74,0.74,0.73,0.7,0.68,0.68,0.65,0.66,0.66,0.58,0.59,0.57,0.55,0.56,0.55,0.53,1.0,0.82,1.0,0.82,1.05,0.31,1.04,0.67,1.05,,1.05,0.99,0.85
PM10_1,0.89,0.73,0.85,0.9,0.65,0.69,0.83,0.72,0.59,0.94,0.76,0.9,0.96,0.81,0.78,0.75,1.22,1.01,1.22,1.0,1.28,,1.25,0.81,1.28,0.39,1.28,1.23,0.86
