,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,16.92,0.26,2.97,0.42,0.55,2.23,0.9,1.22,1.05,1.04
TEMP_0,0.17,18.56,0.34,3.03,3.42,0.27,1.19,0.76,0.93,0.95
PRES_0,2.74,0.49,33.5,0.15,0.58,2.01,1.03,1.01,0.87,1.14
PRES_1,0.27,4.78,0.08,56.04,4.49,0.23,0.94,0.99,1.38,0.77
DEWP_0,0.48,2.28,0.48,2.19,29.58,0.15,0.73,1.26,1.18,0.91
DEWP_1,4.77,0.34,5.0,0.27,0.13,41.3,1.73,0.76,0.83,1.12
WSPM_0,0.87,1.18,1.02,0.99,0.82,1.14,3.91,0.58,0.81,1.07
WSPM_1,1.33,0.73,0.96,1.03,1.51,0.78,0.35,4.69,1.69,0.88
PM10_0,0.97,0.97,0.88,1.08,1.09,0.92,0.86,1.28,9.77,0.43
PM10_1,1.08,1.08,1.51,0.78,0.81,1.26,1.73,0.52,0.16,15.99
