,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,1.0,0.78,0.98,0.98,0.91,0.99,0.89,0.92,0.82,0.96,0.8,0.81,0.82,1.05,0.69,0.74,1.21,1.11,1.22,1.1,1.27,,1.26,0.96,1.27,,1.27,1.23,1.01
NW,1.21,1.0,1.02,1.17,0.94,0.94,1.23,0.8,0.92,0.85,0.99,0.73,0.98,0.77,,,1.22,1.83,1.23,1.38,1.28,,1.27,1.11,1.28,,1.28,1.24,1.09
NE,1.02,0.98,1.0,1.03,0.86,0.91,0.9,0.95,0.95,1.03,0.83,0.96,0.81,1.11,0.74,0.61,1.22,1.13,1.21,1.14,1.29,,1.28,0.97,1.29,,1.29,1.25,1.0
E,0.99,0.92,1.0,1.0,0.89,0.93,0.99,0.93,0.85,0.97,0.9,0.89,0.79,1.01,0.83,0.7,1.28,1.08,1.28,1.06,1.3,,1.28,0.88,1.3,,1.3,1.26,1.02
NNW,1.09,1.05,1.2,1.17,1.0,0.95,0.89,1.03,1.07,0.86,0.97,,,0.76,,,1.29,1.62,1.3,1.55,1.35,,1.33,1.24,1.35,,1.35,1.29,1.15
N,1.0,1.04,1.1,1.04,1.04,1.0,0.9,0.97,0.94,0.8,0.82,1.01,,0.78,0.82,0.99,1.28,1.46,1.29,1.46,1.36,,1.33,1.12,1.36,,1.36,1.31,1.16
ESE,1.1,0.84,1.06,0.98,1.19,1.07,1.0,1.06,0.84,0.94,1.0,0.95,0.89,0.89,0.83,0.88,1.36,1.15,1.34,1.13,1.37,,1.36,0.86,1.37,,1.37,1.32,1.26
NNE,1.07,1.24,1.06,1.05,1.04,0.98,1.01,1.0,0.99,1.03,1.01,0.76,0.93,0.93,0.83,,1.3,1.32,1.32,1.28,1.39,,1.37,0.98,1.39,,1.39,1.3,1.13
WNW,1.21,1.13,1.0,1.06,0.95,1.0,1.1,0.99,1.0,1.03,,0.77,0.76,1.18,0.93,,1.32,1.68,1.32,1.47,1.4,,1.39,1.05,1.4,,1.4,1.35,1.2
WSW,0.92,1.27,0.86,0.94,1.26,1.12,1.02,0.9,0.94,1.0,1.0,1.19,1.22,0.81,1.15,1.42,1.44,0.96,1.46,0.95,1.43,,1.44,1.0,1.44,,1.44,1.4,1.49
SE,1.19,,1.27,1.13,0.96,1.42,0.99,1.05,,1.04,1.0,0.97,0.93,1.17,1.04,1.02,1.42,1.18,1.44,1.19,1.46,,1.47,0.98,1.46,,1.46,1.41,1.26
SW,1.18,1.5,1.02,1.17,,1.02,1.16,1.05,1.31,0.88,1.06,1.0,1.11,0.86,1.09,1.15,1.5,0.99,1.47,0.94,1.46,,1.46,0.99,1.46,,1.46,1.43,1.31
SSW,1.18,1.16,1.16,1.14,1.23,,1.12,1.07,1.51,0.87,1.09,1.06,1.02,1.05,1.11,1.19,1.5,0.91,1.5,0.89,1.51,,1.51,1.06,1.51,,1.51,1.47,1.33
W,0.9,1.28,0.82,0.88,1.22,1.16,1.01,0.97,1.0,1.28,0.86,1.15,1.05,1.0,1.06,,1.46,1.14,1.48,1.07,1.49,,1.47,1.03,1.49,,1.49,1.45,1.5
S,1.46,,1.24,1.19,,1.3,1.17,1.17,1.15,0.92,1.02,0.92,0.96,1.04,1.0,0.95,1.49,1.08,1.5,1.1,1.51,,1.51,1.14,1.51,,1.51,1.46,1.44
SSE,1.51,,1.62,1.29,,1.14,1.27,,,0.94,0.98,0.87,0.95,,1.09,1.0,1.57,1.14,1.58,1.14,1.55,,1.54,1.03,1.55,,1.55,1.5,1.31
PM2.5_0,0.82,0.83,0.81,0.78,0.78,0.79,0.74,0.77,0.76,0.69,0.69,0.68,0.65,0.67,0.65,0.63,1.0,0.88,1.0,0.87,1.04,0.45,1.03,0.78,1.04,,1.04,1.0,0.91
PM2.5_1,0.91,0.67,0.88,0.93,0.67,0.73,0.9,0.77,0.58,0.99,0.85,0.97,1.05,0.84,0.92,0.86,1.14,1.0,1.14,0.99,1.17,,1.16,0.84,1.17,0.51,1.17,1.14,0.8
PM10_0,0.82,0.82,0.81,0.78,0.78,0.78,0.74,0.76,0.76,0.68,0.69,0.68,0.65,0.66,0.66,0.64,1.0,0.88,1.0,0.87,1.03,0.45,1.03,0.77,1.03,,1.03,0.99,0.9
PM10_1,0.92,0.76,0.88,0.95,0.7,0.74,0.89,0.78,0.64,1.04,0.84,1.0,1.07,0.91,0.88,0.85,1.14,1.01,1.14,1.0,1.18,,1.16,0.86,1.18,0.49,1.18,1.15,0.86
TEMP_0,0.79,0.78,0.77,0.77,0.74,0.73,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.64,0.97,0.85,0.97,0.85,1.0,,0.99,0.74,1.0,0.51,1.0,0.97,0.86
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.79,0.79,0.78,0.78,0.75,0.75,0.73,0.72,0.72,0.7,0.68,0.68,0.67,0.67,0.66,0.65,0.97,0.86,0.98,0.86,1.01,0.47,1.0,0.74,1.01,0.54,1.01,0.97,0.87
PRES_0,1.06,0.95,1.06,1.08,0.88,0.8,1.05,1.0,0.96,1.03,1.04,1.06,0.95,0.94,0.94,0.91,1.29,1.18,1.32,1.12,1.36,,1.35,1.0,1.36,,1.36,1.34,1.08
DEWP_0,0.79,0.78,0.77,0.77,0.74,0.74,0.73,0.72,0.71,0.69,0.69,0.68,0.67,0.67,0.66,0.64,0.97,0.85,0.97,0.85,1.0,0.46,0.99,0.73,1.0,0.51,1.0,0.97,0.86
DEWP_1,,,,,,,,,,,,,,,,,,1.88,,1.93,1.96,,1.65,,1.96,1.0,1.96,2.0,
RAIN_0,0.79,0.78,0.78,0.77,0.74,0.73,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.64,0.97,0.85,0.97,0.85,1.0,0.46,0.99,0.74,1.0,0.51,1.0,0.97,0.86
WSPM_0,0.81,0.8,0.79,0.79,0.76,0.76,0.75,0.75,0.73,0.74,0.7,0.71,0.69,0.7,0.68,0.67,1.0,0.86,1.01,0.85,1.04,0.46,1.03,0.74,1.04,0.48,1.04,1.0,0.89
WSPM_1,0.98,0.91,1.0,1.03,0.87,0.85,0.91,0.81,0.84,0.74,0.98,0.77,0.78,0.76,0.79,0.78,1.12,1.47,1.12,1.3,1.17,,1.15,1.0,1.17,,1.17,1.13,1.0
