,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,3.76,1.0,2.51,0.96,0.8,0.96,0.95,1.45
PRES_0,1.0,1.0,4.97,1.0,2.51,0.96,0.8,0.96,0.95,1.45
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,3.74,1.0,2.89,0.96,0.8,0.96,0.95,1.49
DEWP_0,0.02,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,
WSPM_0,0.89,0.89,3.62,0.89,2.41,0.85,0.74,0.86,0.83,1.29
WSPM_1,0.24,0.24,,0.24,0.43,0.23,0.16,0.22,0.26,0.35
PM10_0,0.74,0.74,2.29,0.74,1.79,0.72,0.61,0.68,0.81,1.73
PM10_1,0.39,0.39,,0.39,,0.38,0.3,0.42,0.3,0.4
PM10_2,0.03,0.03,,0.03,,0.03,0.02,0.03,0.02,0.01
