,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.84,0.83,0.75,0.85,0.83,0.78,0.74,0.7,0.71,0.71,0.77,0.75,0.75,0.68,0.65,0.67,1.69,0.92,1.7,0.92,1.77,1.76,,1.76,,1.76,0.43,1.66,0.92
ENE,0.86,0.84,0.78,0.79,0.85,0.83,0.67,0.71,0.75,0.75,0.83,0.7,0.73,0.69,0.71,0.82,1.71,0.97,1.72,0.93,1.81,1.81,,1.8,,1.8,0.53,1.7,0.92
ESE,0.92,0.96,0.83,0.9,0.83,0.86,0.91,0.78,0.8,0.73,0.77,0.86,0.76,0.69,0.73,0.65,1.85,0.98,1.85,0.92,1.91,1.91,,1.9,,1.91,0.39,1.8,1.04
NE,0.9,0.87,0.86,0.82,1.01,0.98,0.74,0.79,0.84,0.78,0.94,0.73,0.77,0.69,0.77,0.92,1.85,1.25,1.87,1.21,1.96,1.96,,1.96,,1.96,0.46,1.85,0.99
SSW,1.13,1.09,1.05,1.05,0.81,0.82,1.16,0.9,0.78,0.85,0.72,0.94,0.88,0.83,0.71,0.55,1.94,1.23,1.95,1.06,2.03,2.03,,2.03,,2.03,,1.91,1.16
SW,1.21,1.18,1.06,0.99,0.85,0.81,0.92,0.94,0.86,0.93,0.75,0.81,0.85,0.68,0.77,0.56,1.93,1.23,1.96,0.98,2.04,2.04,,2.04,,2.04,,1.93,1.16
NNE,1.01,1.0,0.97,0.91,0.97,1.12,0.81,0.81,0.8,0.8,1.06,0.81,0.81,0.79,0.71,0.86,2.01,1.49,2.03,1.33,2.14,2.14,,2.13,,2.13,0.75,2.01,1.03
SE,1.07,1.1,0.93,1.06,0.88,0.93,1.22,0.82,0.85,0.8,0.87,1.05,0.99,0.88,0.66,0.72,2.1,1.15,2.08,1.02,2.15,2.15,,2.15,,2.15,0.46,2.03,1.3
S,1.23,1.21,1.06,1.18,0.85,0.85,1.39,0.93,0.81,0.8,0.8,1.04,0.96,0.95,0.71,0.62,2.06,1.18,2.08,1.09,2.16,2.15,,2.15,,2.15,,2.03,1.2
SSE,1.1,1.17,1.08,1.16,0.94,0.94,1.29,0.86,0.87,0.81,0.77,1.02,0.98,1.01,0.94,0.7,2.13,1.14,2.15,1.09,2.22,2.22,,2.22,,2.22,0.63,2.09,1.25
WSW,1.11,1.01,1.17,0.9,1.09,0.92,0.85,1.12,1.09,1.1,0.8,0.84,0.89,0.75,0.7,0.68,2.1,1.38,2.12,1.18,2.23,2.23,,2.23,,2.23,,2.1,1.41
N,1.12,1.04,1.0,0.97,1.17,1.32,0.89,0.95,1.02,0.93,1.08,0.82,0.75,0.76,0.73,0.81,2.15,1.57,2.15,1.39,2.25,2.25,,2.25,,2.25,,2.12,1.1
NW,1.13,1.09,1.25,1.05,1.27,1.19,0.97,1.08,1.21,1.21,1.06,0.89,0.78,0.77,0.71,0.75,2.27,3.08,2.3,2.03,2.42,2.42,,2.43,,2.42,,2.29,1.3
NNW,1.33,1.24,1.38,1.17,1.62,1.59,1.0,1.16,1.13,1.08,1.21,1.0,0.83,0.79,0.79,0.85,2.42,2.97,2.46,2.06,2.58,2.58,,2.6,,2.58,,2.43,1.32
