,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.86,2.65,0.9,1.88,0.89,1.93,1.12,0.75,1.04,0.89,0.94
TEMP_0,2.92,0.83,2.13,0.9,2.32,0.9,1.2,0.83,1.16,0.99,0.65
PRES_0,0.91,1.94,0.85,3.2,0.92,1.82,1.13,0.78,1.08,0.88,0.84
PRES_1,1.9,0.88,3.24,0.84,1.93,0.91,1.18,0.8,1.12,1.0,0.7
DEWP_1,0.91,2.07,0.92,1.82,0.85,3.51,1.11,0.84,1.08,0.89,0.88
DEWP_0,1.97,0.87,1.83,0.91,3.64,0.84,1.2,0.74,1.11,0.99,0.67
WSPM_0,0.98,0.97,0.97,0.99,0.95,1.03,0.95,0.8,0.96,0.76,0.59
WSPM_1,1.62,1.49,1.66,1.5,1.93,1.36,1.79,0.74,1.34,1.55,1.62
PM10_0,1.09,1.1,1.13,1.09,1.13,1.09,1.11,0.7,0.88,1.23,2.68
PM10_1,1.32,1.33,1.28,1.39,1.28,1.41,1.32,0.98,1.76,0.8,0.82
PM10_2,3.08,1.84,2.7,1.98,2.85,2.0,2.28,2.03,4.28,1.95,0.56
